"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.73061285691009,0.754,0.158,0,"Endocardial cells","GRCm38-H19"
0,3.42499322673798,0.664,0.015,0,"Endocardial cells","GRCm38-Npr3"
0,3.35494092199362,0.675,0.118,0,"Endocardial cells","GRCm38-Igfbp5"
0,2.96065501822283,0.8,0.102,0,"Endocardial cells","GRCm38-Hmcn1"
0,2.78527034672639,0.553,0.022,0,"Endocardial cells","GRCm38-Vwf"
0,2.69363683802538,0.929,0.528,0,"Endocardial cells","GRCm38-Tm4sf1"
0,2.68039186072897,0.651,0.09,0,"Endocardial cells","GRCm38-Ednrb"
0,2.61915077358128,0.716,0.097,0,"Endocardial cells","GRCm38-Cdh11"
0,2.61308235643717,0.652,0.024,0,"Endocardial cells","GRCm38-Tmem108"
0,2.54668231472619,0.733,0.145,0,"Endocardial cells","GRCm38-Cgnl1"
0,2.43548509594376,0.578,0.029,0,"Endocardial cells","GRCm38-Plvap"
0,2.35405731552173,0.608,0.064,0,"Endocardial cells","GRCm38-Plagl1"
0,2.35327445261276,0.691,0.103,0,"Endocardial cells","GRCm38-Cemip2"
0,2.34788882148553,0.82,0.241,0,"Endocardial cells","GRCm38-Ece1"
0,2.30227749491609,0.622,0.075,0,"Endocardial cells","GRCm38-Bace2"
0,2.29771516029954,0.525,0.074,0,"Endocardial cells","GRCm38-Tmem158"
0,2.25408562369977,0.799,0.213,0,"Endocardial cells","GRCm38-Cpe"
0,2.22150553538251,0.697,0.164,0,"Endocardial cells","GRCm38-Cfh"
0,2.19762856071449,0.849,0.272,0,"Endocardial cells","GRCm38-Emcn"
0,2.19713036907713,0.932,0.604,0,"Endocardial cells","GRCm38-Fabp5"
0,2.19636517894698,0.408,0.017,0,"Endocardial cells","GRCm38-Gsta4"
0,2.19520332683762,0.762,0.13,0,"Endocardial cells","GRCm38-Ctsh"
0,2.16344565036505,0.876,0.378,0,"Endocardial cells","GRCm38-Ctla2a"
0,2.11120666570746,0.286,0.004,0,"Endocardial cells","GRCm38-Cytl1"
0,2.06708228171745,0.563,0.03,0,"Endocardial cells","GRCm38-AV026068"
0,2.06455932606864,0.879,0.386,0,"Endocardial cells","GRCm38-Eng"
0,1.89000174976164,0.654,0.163,0,"Endocardial cells","GRCm38-Calcrl"
0,1.8883735136372,0.454,0.018,0,"Endocardial cells","GRCm38-Enpp6"
0,1.877829197755,0.334,0.007,0,"Endocardial cells","GRCm38-Ahsg"
0,1.78330184466471,0.549,0.061,0,"Endocardial cells","GRCm38-Foxc1"
0,1.77109486407743,0.508,0.026,0,"Endocardial cells","GRCm38-Pgm5"
0,1.75356848414632,0.708,0.178,0,"Endocardial cells","GRCm38-Mmrn2"
0,1.63382167321932,0.613,0.155,0,"Endocardial cells","GRCm38-Ackr3"
0,1.55940201929484,0.929,0.569,0,"Endocardial cells","GRCm38-Aplp2"
0,1.53992348391098,0.896,0.488,0,"Endocardial cells","GRCm38-Ramp2"
0,1.5154500972035,0.376,0.005,0,"Endocardial cells","GRCm38-Smoc1"
0,1.46676384243456,0.443,0.058,0,"Endocardial cells","GRCm38-Ptgs1"
0,1.45632442440349,0.46,0.042,0,"Endocardial cells","GRCm38-Gpr182"
0,1.44971500894514,0.261,0.013,0,"Endocardial cells","GRCm38-Lyve1"
0,1.43987407042794,0.491,0.071,0,"Endocardial cells","GRCm38-Cd59a"
0,1.43770021841788,0.524,0.123,0,"Endocardial cells","GRCm38-Ltbp1"
0,1.42973194010823,0.439,0.069,0,"Endocardial cells","GRCm38-Flrt2"
0,1.399918217048,0.572,0.155,0,"Endocardial cells","GRCm38-Nr2f2"
0,1.38206558853905,0.39,0.06,0,"Endocardial cells","GRCm38-Spon1"
0,1.34504394027625,0.417,0.051,0,"Endocardial cells","GRCm38-Acer2"
0,1.32904833949306,0.219,0.008,0,"Endocardial cells","GRCm38-Nrg1"
0,1.32071407702729,0.36,0.045,0,"Endocardial cells","GRCm38-Lbp"
0,1.30996346862021,0.476,0.098,0,"Endocardial cells","GRCm38-Meis2"
0,1.27829501585146,0.384,0.059,0,"Endocardial cells","GRCm38-Tmem100"
0,1.21791984507257,0.38,0.045,0,"Endocardial cells","GRCm38-Rasgef1b"
0,1.16995024496389,0.32,0.007,0,"Endocardial cells","GRCm38-Prr15"
0,1.15001491507495,0.389,0.055,0,"Endocardial cells","GRCm38-Kank1"
0,1.13937400544273,0.298,0.01,0,"Endocardial cells","GRCm38-Bmx"
0,1.13510141978653,0.395,0.061,0,"Endocardial cells","GRCm38-Hand2"
0,1.10862936698251,0.297,0.012,0,"Endocardial cells","GRCm38-Adgrg6"
0,1.0615383407694,0.399,0.075,0,"Endocardial cells","GRCm38-Ptpn14"
0,1.05601018244989,0.321,0.036,0,"Endocardial cells","GRCm38-Rps6ka2"
0,1.04779680001758,0.446,0.093,0,"Endocardial cells","GRCm38-Klhl4"
0,1.03199622497235,0.322,0.046,0,"Endocardial cells","GRCm38-Slco2a1"
0,1.01318116667076,0.32,0.039,0,"Endocardial cells","GRCm38-Plxnc1"
0,1.01093007314399,0.289,0.006,0,"Endocardial cells","GRCm38-Gm30648"
0,1.00468751670646,0.198,0.001,0,"Endocardial cells","GRCm38-A2m"
0,0.982263063160975,0.278,0.01,0,"Endocardial cells","GRCm38-Pkhd1l1"
0,0.945992135603064,0.198,0.016,0,"Endocardial cells","GRCm38-Ephx2"
0,0.941731717322524,0.264,0.005,0,"Endocardial cells","GRCm38-Col23a1"
0,0.897805711777427,0.269,0.002,0,"Endocardial cells","GRCm38-Sall1"
0,0.876711829882679,0.227,0.02,0,"Endocardial cells","GRCm38-Procr"
0,0.875471833129955,0.263,0.011,0,"Endocardial cells","GRCm38-Igf2"
0,0.861241001787335,0.265,0.011,0,"Endocardial cells","GRCm38-Gpm6a"
0,0.859081021143474,0.172,0.006,0,"Endocardial cells","GRCm38-Sost"
0,0.845020128404795,0.27,0.01,0,"Endocardial cells","GRCm38-Wipf3"
0,0.844055842903079,0.196,0.006,0,"Endocardial cells","GRCm38-Comp"
0,0.828884470276758,0.206,0.008,0,"Endocardial cells","GRCm38-Prox1"
0,0.667846400827027,0.186,0.009,0,"Endocardial cells","GRCm38-Sema3a"
0,0.664534234454304,0.213,0.015,0,"Endocardial cells","GRCm38-Fam174b"
0,0.663939479383788,0.181,0.002,0,"Endocardial cells","GRCm38-1110032F04Rik"
0,0.628436741346198,0.204,0.006,0,"Endocardial cells","GRCm38-Irx5"
0,0.619598751004235,0.167,0.002,0,"Endocardial cells","GRCm38-Irf6"
0,0.577504812852889,0.171,0.012,0,"Endocardial cells","GRCm38-Rassf10"
0,0.552810920325281,0.118,0.001,0,"Endocardial cells","GRCm38-Adh6b"
0,0.507207062514845,0.132,0.005,0,"Endocardial cells","GRCm38-Wnt2"
0,0.497725708885703,0.145,0.006,0,"Endocardial cells","GRCm38-Wnt11"
0,0.449082184104239,0.147,0.008,0,"Endocardial cells","GRCm38-Dsg2"
0,0.448489550209674,0.118,0.003,0,"Endocardial cells","GRCm38-Slc18a2"
0,0.374684041869244,0.105,0.001,0,"Endocardial cells","GRCm38-Nrxn3"
9.21454787883644e-307,1.13776171106445,0.851,0.343,5.05399522058421e-302,"Endocardial cells","GRCm38-Apoe"
7.71420880296585e-306,1.76365818638317,0.827,0.341,4.23108924425071e-301,"Endocardial cells","GRCm38-Fbln2"
