"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Tcap",0,1.29746992563878,0.998,0.992,0,"myofiber","Tcap","protein_coding"
"Cox8b",0,1.2513197203226,0.997,0.971,0,"myofiber","Cox8b","protein_coding"
"mt-Nd5",0,1.2277125341201,0.997,0.978,0,"myofiber","mt-Nd5","protein_coding"
"mt-Nd2",0,1.22635565904267,1,1,0,"myofiber","mt-Nd2","protein_coding"
"Myh4",0,1.19301135483957,1,1,0,"myofiber","Myh4","protein_coding"
"mt-Nd1",0,1.08769539542661,1,1,0,"myofiber","mt-Nd1","protein_coding"
"mt-Co1",0,1.08013405265824,0.999,0.989,0,"myofiber","mt-Co1","protein_coding"
"Cox6a2",0,1.06773176853828,0.999,0.987,0,"myofiber","Cox6a2","protein_coding"
"Ckm",0,1.0644836421452,1,1,0,"myofiber","Ckm","protein_coding"
"mt-Nd4",0,1.06001601930982,1,1,0,"myofiber","mt-Nd4","protein_coding"
"mt-Co2",0,1.0434544610468,0.993,0.968,0,"myofiber","mt-Co2","protein_coding"
"mt-Co3",0,1.02757344374193,0.999,0.999,0,"myofiber","mt-Co3","protein_coding"
"mt-Atp6",0,1.0193979331181,0.984,0.952,0,"myofiber","mt-Atp6","protein_coding"
"mt-Cytb",0,1.00879451877987,1,1,0,"myofiber","mt-Cytb","protein_coding"
"Tnni2",0,1.00464957548111,1,0.999,0,"myofiber","Tnni2","protein_coding"
"mt-Nd3",0,0.992820553382237,0.99,0.964,0,"myofiber","mt-Nd3","protein_coding"
"Pfkm",0,0.930970073280667,1,0.986,0,"myofiber","Pfkm","protein_coding"
"Tnnt3",0,0.904272243647298,1,1,0,"myofiber","Tnnt3","protein_coding"
"Aldoa",0,0.899208139151792,1,1,0,"myofiber","Aldoa","protein_coding"
"Tnnc2",0,0.885157439394315,1,1,0,"myofiber","Tnnc2","protein_coding"
"Rps8",0,-0.956760372275534,0.93,0.981,0,"myofiber","Rps8","protein_coding"
"Rplp1",0,-0.962926631235243,1,0.999,0,"myofiber","Rplp1","protein_coding"
"Rps20",0,-1.07255395404958,0.951,0.98,0,"myofiber","Rps20","protein_coding"
"Rps9",0,-1.08641744227288,0.946,0.987,0,"myofiber","Rps9","protein_coding"
"Rps12",0,-1.30924948823167,0.806,0.935,0,"myofiber","Rps12","protein_coding"
"Sparc",0,-1.3486359363451,0.79,0.98,0,"myofiber","Sparc","protein_coding"
"Rpl41",0,-1.35561859787396,0.995,0.998,0,"myofiber","Rpl41","protein_coding"
"Bgn",0,-1.43652877432114,0.487,0.887,0,"myofiber","Bgn","protein_coding"
"Col1a2",0,-1.56557020871212,0.78,0.97,0,"myofiber","Col1a2","protein_coding"
"B2m",0,-1.61549984630118,0.733,0.95,0,"myofiber","B2m","protein_coding"
"Lgals1",0,-1.6509789203501,0.924,0.985,0,"myofiber","Lgals1","protein_coding"
"Col1a1",0,-1.67862632145812,0.778,0.979,0,"myofiber","Col1a1","protein_coding"
"Cd74",0,-1.70285098442557,0.516,0.906,0,"myofiber","Cd74","protein_coding"
"Ppia",0,-1.70782062413159,0.75,0.939,0,"myofiber","Ppia","protein_coding"
"Actg1",0,-1.71915803702953,0.808,0.968,0,"myofiber","Actg1","protein_coding"
"S100a6",0,-1.76540991318226,0.871,0.976,0,"myofiber","S100a6","protein_coding"
"Col3a1",0,-1.93998016390111,0.784,0.984,0,"myofiber","Col3a1","protein_coding"
"Eef1a1",0,-2.02158078997666,0.897,0.982,0,"myofiber","Eef1a1","protein_coding"
"Tmsb4x",0,-2.1741916263346,0.959,0.992,0,"myofiber","Tmsb4x","protein_coding"
"Apoe",0,-2.19424891229337,0.787,0.971,0,"myofiber","Apoe","protein_coding"
"Tmsb10",0,-2.59180492596588,0.61,0.937,0,"myofiber","Tmsb10","protein_coding"
"Ftl1",0,-2.91583227109692,0.716,0.945,0,"myofiber","Ftl1","protein_coding"
"Rps27a",4.69435666366896e-305,-1.23682358249014,0.826,0.939,1.30099400576922e-300,"myofiber","Rps27a","protein_coding"
"Eno3",3.06146730071915e-303,0.901861853793783,1,0.996,8.48455047721305e-299,"myofiber","Eno3","protein_coding"
"Atp2a1",1.83514265435739e-302,0.850542098189901,1,0.999,5.08591435228608e-298,"myofiber","Atp2a1","protein_coding"
"Fn1",7.24751156533431e-301,-1.49071878621859,0.478,0.872,2.00857535521675e-296,"myofiber","Fn1","protein_coding"
"Rpl35a",1.78252613423965e-298,-0.933059611999887,0.972,0.989,4.94009292843177e-294,"myofiber","Rpl35a","protein_coding"
"Rps24",2.32035964979956e-293,-1.0082482724864,0.989,0.989,6.43064473345449e-289,"myofiber","Rps24","protein_coding"
"Rpl39",2.74180968806481e-292,-1.10058604558471,0.97,0.99,7.59865136950281e-288,"myofiber","Rpl39","protein_coding"
