"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","biotype"
"Malat1",0,1.5027990919669,0.968,0.734,0,"ctrl","Malat1","lncRNA"
"Trdn",0,1.39978155225411,0.95,0.798,0,"ctrl","Trdn","protein_coding"
"Des",0,1.00965227558538,0.995,0.991,0,"ctrl","Des","protein_coding"
"Gm23201",0,-0.714243865622243,0,0.395,0,"ctrl","Gm23201","snoRNA"
"Gm24451",0,-0.917080349468923,0.002,0.468,0,"ctrl","Gm24451","snoRNA"
"Snora21",0,-0.918643955446905,0.002,0.478,0,"ctrl","Snora21","snoRNA"
"Gm24119",0,-0.928594484320416,0,0.459,0,"ctrl","Gm24119","snoRNA"
"Rny3",0,-0.94577412478792,0.002,0.491,0,"ctrl","Rny3","misc_RNA"
"mt-Td",0,-1.00042818562088,0.1,0.583,0,"ctrl","mt-Td","Mt_tRNA"
"mt-Tq",0,-1.0572809845762,0.129,0.615,0,"ctrl","mt-Tq","Mt_tRNA"
"Snhg4",0,-1.07229519135168,0.115,0.529,0,"ctrl","Snhg4","lncRNA"
"mt-Tp",0,-1.12165543749244,0.213,0.626,0,"ctrl","mt-Tp","Mt_tRNA"
"mt-Ts1",0,-1.12576451242825,0.137,0.638,0,"ctrl","mt-Ts1","Mt_tRNA"
"Grip2",0,-1.12882090047656,0.95,0.998,0,"ctrl","Grip2","protein_coding"
"Snord118",0,-1.35709617857747,0.017,0.663,0,"ctrl","Snord118","snoRNA"
"mt-Tv",0,-1.52164399552259,0.223,0.793,0,"ctrl","mt-Tv","Mt_tRNA"
"mt-Tm",0,-1.57162948876277,0.263,0.84,0,"ctrl","mt-Tm","Mt_tRNA"
"Rny1",0,-1.65828784816426,0.003,0.756,0,"ctrl","Rny1","misc_RNA"
"mt-Tn",0,-1.68865336101952,0.36,0.876,0,"ctrl","mt-Tn","Mt_tRNA"
"mt-Tc",0,-1.79702270540703,0.079,0.812,0,"ctrl","mt-Tc","Mt_tRNA"
"Mir6236",0,-1.86369555582143,0.162,0.833,0,"ctrl","Mir6236","miRNA"
"mt-Ta",0,-1.93981509937392,0.312,0.908,0,"ctrl","mt-Ta","Mt_tRNA"
"Vaultrc5",0,-1.98249738056044,0.011,0.835,0,"ctrl","Vaultrc5","misc_RNA"
"AA474408",0,-2.10076610701045,0.1,0.797,0,"ctrl","AA474408","TEC"
"mt-Ts2",0,-2.20447660075298,0.219,0.923,0,"ctrl","mt-Ts2","Mt_tRNA"
"Rpph1",0,-2.36521370142568,0.018,0.781,0,"ctrl","Rpph1","ribozyme"
"Lars2",0,-2.70557765800816,0.865,0.998,0,"ctrl","Lars2","protein_coding"
"Gm43846",0,-2.71610722767045,0.026,0.924,0,"ctrl","Gm43846","lncRNA"
"Rn18s-rs5",0,-2.98771641049357,1,1,0,"ctrl","Rn18s-rs5","rRNA"
"Ttyh1",0,-3.04675107401007,0.025,0.963,0,"ctrl","Ttyh1","protein_coding"
"Gm37357",0,-3.08308586359228,0.316,0.981,0,"ctrl","Gm37357","TEC"
"Mettl26",0,-3.12126921789748,0.322,0.993,0,"ctrl","Mettl26","protein_coding"
"mt-Th",0,-3.30569571027991,0.208,0.988,0,"ctrl","mt-Th","Mt_tRNA"
"Tmem38b",0,-3.65284184576652,0.415,0.988,0,"ctrl","Tmem38b","protein_coding"
"7SK",0,-4.53473359451541,0.021,0.984,0,"ctrl","7SK","misc_RNA"
"Gm42826",0,-5.89117869567594,0.109,1,0,"ctrl","Gm42826","TEC"
"Gm26387",4.98292520965356e-307,-0.738560725306723,0,0.391,1.38096789260339e-302,"ctrl","Gm26387","snoRNA"
"Gm22154",1.43306983801234e-306,-0.759796833048878,0,0.391,3.9716097490674e-302,"ctrl","Gm22154","snoRNA"
"Gm26109",5.22036431237268e-303,-0.714400392262312,0,0.388,1.44677176553096e-298,"ctrl","Gm26109","snoRNA"
"Snord17",7.95017024482201e-301,-0.783428394307054,0.001,0.387,2.20331018164997e-296,"ctrl","Snord17","snoRNA"
"Snord35a",5.25922795968281e-281,-0.655459481918495,0.001,0.367,1.45754243674649e-276,"ctrl","Snord35a","snoRNA"
"Gm24616",1.36692077148118e-279,-0.694756108391188,0.005,0.371,3.78828422608295e-275,"ctrl","Gm24616","snoRNA"
"Snord104",4.17897177557478e-276,-0.735133959683675,0.063,0.446,1.15816023788279e-271,"ctrl","Snord104","snoRNA"
