Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,plate_format,Platform,protocol/barcodes,read_format,ReleaseDate,Sample Name,sample_type,source_name,SRA Study
SRR14783059,RNA-Seq,101,22686402143,PRJNA736741,SAMN19659009,8718155490,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116362,GSM5369495,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,"human cells sorted inwells 1,3,5, etc(i.e. A1, A3, A5, etc.) and mouse cells sorted in 2,4,6, etc (A2, A4, A6, etc)",ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 8 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369495,mixed human HEK293T and mouse embryonic stem cells,vasaplate-HEK293T-mESC,SRP323648
SRR14783060,RNA-Seq,96,38796731891,PRJNA736741,SAMN19659008,17655593806,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116363,GSM5369496,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369496,mixed human HEK293T and mouse embryonic stem cells,vasadrop_mm_hs_NextSeq,SRP323648
SRR14783061,RNA-Seq,269,11874332769,PRJNA736741,SAMN19659007,4255162476,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116364,GSM5369497,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369497,"mouse embryo\, E6.5",vasadrop_E6.5-1_i1,SRP323648
SRR14783062,RNA-Seq,269,9782833290,PRJNA736741,SAMN19659006,3501397651,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116365,GSM5369498,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369498,"mouse embryo\, E6.5",vasadrop_E6.5-2_i2,SRP323648
SRR14783063,RNA-Seq,269,5367611474,PRJNA736741,SAMN19659005,1935969764,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116366,GSM5369499,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369499,"mouse embryo\, E6.5",vasadrop_E6.5-3_i29,SRP323648
SRR14783064,RNA-Seq,269,5218888906,PRJNA736741,SAMN19659004,2029623907,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116367,GSM5369500,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369500,"mouse embryo\, E6.5",vasadrop_E6.5-4_i30,SRP323648
SRR14783065,RNA-Seq,269,8038313414,PRJNA736741,SAMN19659003,2876220025,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116368,GSM5369501,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369501,"mouse embryo\, E6.5",vasadrop_E6.5-5_i3,SRP323648
SRR14783066,RNA-Seq,269,23273099900,PRJNA736741,SAMN19659002,8125062392,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116369,GSM5369502,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369502,"mouse embryo\, E6.5",vasadrop_E6.5-6_i12,SRP323648
SRR14783067,RNA-Seq,269,23896362140,PRJNA736741,SAMN19659001,8417396826,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116370,GSM5369503,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369503,"mouse embryo\, E6.5",vasadrop_E6.5-7_i13,SRP323648
SRR14783068,RNA-Seq,269,21478505136,PRJNA736741,SAMN19659000,7547852297,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX11116371,GSM5369504,Illumina NovaSeq 6000,PAIRED,cDNA,TRANSCRIPTOMIC,Mus musculus,NA,ILLUMINA,VASA-seq,"Read 1 starts with a 6-nucleotide long UFI, followed by an 16 nucleotide long cell-specific barcode",2021-09-18T00:00:00Z,GSM5369504,"mouse embryo\, E7.5",vasadrop_E7.5-1_i4,SRP323648
