"sample","SRR_ID","timepoint","polyA","GEO_ID"
"E6.5-1_i1","SRR14783061","E6.5","VASAdrop","GSM5369497"
"E6.5-2_i2","SRR14783062","E6.5","VASAdrop","GSM5369498"
"E6.5-3_i29","SRR14783063","E6.5","VASAdrop","GSM5369499"
"E6.5-4_i30","SRR14783064","E6.5","VASAdrop","GSM5369500"
"E6.5-5_i3","SRR14783065","E6.5","VASAdrop","GSM5369501"
"E6.5-6_i12","SRR14783066","E6.5","VASAdrop","GSM5369502"
"E6.5-7_i13","SRR14783067","E6.5","VASAdrop","GSM5369503"
"E7.5-1_i4","SRR14783068","E7.5","VASAdrop","GSM5369504"
"E7.5-2_i5","SRR14783069","E7.5","VASAdrop","GSM5369505"
"E7.5-3_i14","SRR14783070","E7.5","VASAdrop","GSM5369506"
"E7.5-4_i6","SRR14783071","E7.5","VASAdrop","GSM5369507"
"E7.5-5_i15","SRR14783072","E7.5","VASAdrop","GSM5369508"
"E7.5-6_i31","SRR14783073","E7.5","VASAdrop","GSM5369509"
"E7.5-7_i32","SRR14783074","E7.5","VASAdrop","GSM5369511"
"E8.5-10_i22","SRR14783075","E8.5","VASAdrop","GSM5369513"
"E8.5-11_i9","SRR14783076","E8.5","VASAdrop","GSM5369514"
"E8.5-12_i23","SRR14783077","E8.5","VASAdrop","GSM5369515"
"E8.5-13_i34","SRR14783078","E8.5","VASAdrop","GSM5369516"
"E8.5-14_i24","SRR14783079","E8.5","VASAdrop","GSM5369517"
"E8.5-15_i35","SRR14783080","E8.5","VASAdrop","GSM5369518"
"E8.5-16_i25","SRR14783082","E8.5","VASAdrop","GSM5369519"
"E8.5-17_i26","SRR14783083","E8.5","VASAdrop","GSM5369520"
"E8.5-19_i36","SRR14783084","E8.5","VASAdrop","GSM5369521"
"E8.5-1_i7","SRR14783085","E8.5","VASAdrop","GSM5369522"
"E8.5-20_i37","SRR14783086","E8.5","VASAdrop","GSM5369523"
"E8.5-21_i38","SRR14783087","E8.5","VASAdrop","GSM5369524"
"E8.5-22_i39","SRR14783088","E8.5","VASAdrop","GSM5369525"
"E8.5-23_i40","SRR14783089","E8.5","VASAdrop","GSM5369526"
"E8.5-2_i16","SRR14783090","E8.5","VASAdrop","GSM5369527"
"E8.5-3_i17","SRR14783091","E8.5","VASAdrop","GSM5369528"
"E8.5-4_i8","SRR14783092","E8.5","VASAdrop","GSM5369529"
"E8.5-5_i18","SRR14783093","E8.5","VASAdrop","GSM5369530"
"E8.5-6_i19","SRR14783094","E8.5","VASAdrop","GSM5369531"
"E8.5-7_i20","SRR14783095","E8.5","VASAdrop","GSM5369532"
"E8.5-8_i21","SRR14783096","E8.5","VASAdrop","GSM5369533"
"E8.5-9_i33","SRR14783097","E8.5","VASAdrop","GSM5369534"
"E9.5-1_i10","SRR14783098","E9.5","VASAdrop","GSM5369535"
"E9.5-2_i11","SRR14783099","E9.5","VASAdrop","GSM5369536"
"E9.5-3_i41","SRR14783100","E9.5","VASAdrop","GSM5369537"
"E9.5-4_i27","SRR14783101","E9.5","VASAdrop","GSM5369538"
"E9.5-5_i28","SRR14783102","E9.5","VASAdrop","GSM5369539"
"E9.5-6_i42","SRR14783103","E9.5","VASAdrop","GSM5369540"
"E9.5-7_i43","SRR14783104","E9.5","VASAdrop","GSM5369541"
"E9.5-8_i44","SRR14783105","E9.5","VASAdrop","GSM5369542"
"E9.5-9_i45","SRR14783106","E9.5","VASAdrop","GSM5369543"
