GeneSymbol_Plus	GENEID_Plus	Biotype_Plus	Location_Plus	Strand_Plus	GeneSymbol_Minus	GENEID_Minus	Biotype_Minus	Location_Minus	Strand_Minus
Gm47630	ENSMUSG00000112178.2	processed_pseudogene	chr10:100156964-100157233	+	Gm47628	ENSMUSG00000112122.2	processed_pseudogene	chr10:100156175-100157287	-
Cep290	ENSMUSG00000019971.11	protein_coding	chr10:100323420-100409517	+	4930430F08Rik	ENSMUSG00000046567.11	protein_coding	chr10:100408127-100425257	-
Cep290	ENSMUSG00000019971.11	protein_coding	chr10:100324151-100409517	+	4930430F08Rik	ENSMUSG00000046567.11	protein_coding	chr10:100408127-100425257	-
Cep290	ENSMUSG00000019971.11	protein_coding	chr10:100380287-100409243	+	4930430F08Rik	ENSMUSG00000046567.11	protein_coding	chr10:100408127-100425257	-
Cep290	ENSMUSG00000019971.11	protein_coding	chr10:100407796-100410702	+	4930430F08Rik	ENSMUSG00000046567.11	protein_coding	chr10:100408127-100425257	-
Gm47956	ENSMUSG00000112000.2	lncRNA	chr10:100413288-100419573	+	4930430F08Rik	ENSMUSG00000046567.11	protein_coding	chr10:100408127-100425257	-
4930598N05Rik	ENSMUSG00000109160.2	lncRNA	chr10:10060544-10129933	+	Gm31904	ENSMUSG00000112219.2	lncRNA	chr10:10106480-10110594	-
Gm15568	ENSMUSG00000083257.2	processed_pseudogene	chr10:10218859-10220071	+	Adgb	ENSMUSG00000050994.21	protein_coding	chr10:10211447-10348058	-
Gm47143	ENSMUSG00000112845.2	lncRNA	chr10:102519126-102529943	+	Gm47142	ENSMUSG00000112221.2	processed_pseudogene	chr10:102518930-102519176	-
Gm47143	ENSMUSG00000112845.2	lncRNA	chr10:102519131-102530417	+	Gm47142	ENSMUSG00000112221.2	processed_pseudogene	chr10:102518930-102519176	-
Gm47143	ENSMUSG00000112845.2	lncRNA	chr10:102519131-102530430	+	Gm47142	ENSMUSG00000112221.2	processed_pseudogene	chr10:102518930-102519176	-
Gm25376	ENSMUSG00000077528.3	snoRNA	chr10:102957097-102957229	+	Lrriq1	ENSMUSG00000019892.14	protein_coding	chr10:102899059-103072183	-
Gm47221	ENSMUSG00000112319.2	lncRNA	chr10:103348789-103407546	+	Gm47222	ENSMUSG00000112839.2	processed_pseudogene	chr10:103405070-103405262	-
Gm48206	ENSMUSG00000112193.2	TEC	chr10:105176110-105178175	+	Tmtc2	ENSMUSG00000036019.9	protein_coding	chr10:105023524-105410296	-
Gm15664	ENSMUSG00000089904.2	unprocessed_pseudogene	chr10:105356321-105356504	+	Tmtc2	ENSMUSG00000036019.9	protein_coding	chr10:105023524-105410296	-
Gm15663	ENSMUSG00000085282.9	lncRNA	chr10:105409814-105417901	+	Tmtc2	ENSMUSG00000036019.9	protein_coding	chr10:105023524-105410296	-
Ccdc59	ENSMUSG00000019897.9	protein_coding	chr10:105676928-105683694	+	Mettl25	ENSMUSG00000036009.17	protein_coding	chr10:105662434-105677232	-
Gm48400	ENSMUSG00000112772.2	processed_pseudogene	chr10:10606373-10606870	+	Grm1	ENSMUSG00000019828.14	protein_coding	chr10:10561803-10958100	-
4930567K20Rik	ENSMUSG00000112730.2	lncRNA	chr10:10624674-10631394	+	Grm1	ENSMUSG00000019828.14	protein_coding	chr10:10561803-10958100	-
4930567K20Rik	ENSMUSG00000112730.2	lncRNA	chr10:10624704-10654114	+	Grm1	ENSMUSG00000019828.14	protein_coding	chr10:10561803-10958100	-
4930567K20Rik	ENSMUSG00000112730.2	lncRNA	chr10:10626790-10633876	+	Grm1	ENSMUSG00000019828.14	protein_coding	chr10:10561803-10958100	-
4930567K20Rik	ENSMUSG00000112730.2	lncRNA	chr10:10626824-10631389	+	Grm1	ENSMUSG00000019828.14	protein_coding	chr10:10561803-10958100	-
Ppfia2	ENSMUSG00000053825.16	protein_coding	chr10:106306200-106768353	+	4930532I03Rik	ENSMUSG00000112201.2	lncRNA	chr10:106391056-106438341	-
Ppfia2	ENSMUSG00000053825.16	protein_coding	chr10:106306201-106613860	+	4930532I03Rik	ENSMUSG00000112201.2	lncRNA	chr10:106391056-106438341	-
Ppfia2	ENSMUSG00000053825.16	protein_coding	chr10:106306207-106771813	+	4930532I03Rik	ENSMUSG00000112201.2	lncRNA	chr10:106391056-106438341	-
Gm19007	ENSMUSG00000112443.2	processed_pseudogene	chr10:106785158-106786031	+	Acss3	ENSMUSG00000035948.14	protein_coding	chr10:106769378-106959444	-
Gm47472	ENSMUSG00000111910.2	TEC	chr10:108614172-108618734	+	Syt1	ENSMUSG00000035864.15	protein_coding	chr10:108333511-108846836	-
Gm48406	ENSMUSG00000111921.2	processed_pseudogene	chr10:10911660-10911888	+	Grm1	ENSMUSG00000019828.14	protein_coding	chr10:10561803-10958100	-
Gm47337	ENSMUSG00000112197.2	TEC	chr10:109914552-109916828	+	Nav3	ENSMUSG00000020181.19	protein_coding	chr10:109517120-110292065	-
Gm47339	ENSMUSG00000112556.2	TEC	chr10:109935680-109938765	+	Nav3	ENSMUSG00000020181.19	protein_coding	chr10:109517120-110292065	-
Gm47338	ENSMUSG00000112548.2	TEC	chr10:110215369-110217522	+	Nav3	ENSMUSG00000020181.19	protein_coding	chr10:109517120-110292065	-
Shprh	ENSMUSG00000090112.9	protein_coding	chr10:11025174-11093339	+	Gm16577	ENSMUSG00000090070.2	lncRNA	chr10:11088024-11088723	-
Shprh	ENSMUSG00000090112.9	protein_coding	chr10:11042201-11090041	+	Gm16577	ENSMUSG00000090070.2	lncRNA	chr10:11088024-11088723	-
E2f7	ENSMUSG00000020185.17	protein_coding	chr10:110581329-110623245	+	1700020G17Rik	ENSMUSG00000101801.7	lncRNA	chr10:110620446-110732349	-
E2f7	ENSMUSG00000020185.17	protein_coding	chr10:110581374-110621371	+	1700020G17Rik	ENSMUSG00000101801.7	lncRNA	chr10:110620446-110732349	-
Gm23698	ENSMUSG00000089461.3	snoRNA	chr10:110632034-110632161	+	1700020G17Rik	ENSMUSG00000101801.7	lncRNA	chr10:110620446-110732349	-
Phlda1	ENSMUSG00000020205.9	protein_coding	chr10:111342147-111344506	+	Gm28592	ENSMUSG00000100113.2	lncRNA	chr10:111342436-111343523	-
Gm30624	ENSMUSG00000112430.2	lncRNA	chr10:111561089-111678953	+	Gm19005	ENSMUSG00000112802.2	processed_pseudogene	chr10:111642293-111643157	-
Gm46193	ENSMUSG00000112706.2	processed_pseudogene	chr10:111603683-111604046	+	Gm47865	ENSMUSG00000112137.2	lncRNA	chr10:111593163-111635656	-
Krr1	ENSMUSG00000063334.17	protein_coding	chr10:111808569-111824337	+	Glipr1	ENSMUSG00000056888.12	protein_coding	chr10:111821353-111833169	-
Krr1	ENSMUSG00000063334.17	protein_coding	chr10:111808680-111822799	+	Glipr1	ENSMUSG00000056888.12	protein_coding	chr10:111821353-111833169	-
Glipr1l2	ENSMUSG00000020214.11	protein_coding	chr10:111919259-111943216	+	Gm6808	ENSMUSG00000090162.2	processed_pseudogene	chr10:111925572-111926378	-
Glipr1l2	ENSMUSG00000020214.11	protein_coding	chr10:111919259-111944003	+	Gm6808	ENSMUSG00000090162.2	processed_pseudogene	chr10:111925572-111926378	-
Caps2	ENSMUSG00000035694.16	protein_coding	chr10:111999526-112052460	+	Gm47419	ENSMUSG00000112564.2	lncRNA	chr10:112049692-112067046	-
Caps2	ENSMUSG00000035694.16	protein_coding	chr10:112001581-112052021	+	Gm47419	ENSMUSG00000112564.2	lncRNA	chr10:112049692-112067046	-
Caps2	ENSMUSG00000035694.16	protein_coding	chr10:112008445-112051587	+	Gm47419	ENSMUSG00000112564.2	lncRNA	chr10:112049692-112067046	-
Epm2a	ENSMUSG00000055493.5	protein_coding	chr10:11219148-11335388	+	Rpl17-ps11	ENSMUSG00000090242.2	processed_pseudogene	chr10:11262619-11263347	-
