Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Ccdc117	ENSMUST00000020776.4	coiled-coil domain containing 117 	586	5	2	2	1	0	mmu-miR-378a-5p				-0.74	-0.82	< 0.1
Rab5a	ENSMUST00000017975.5	RAB5A, member RAS oncogene family 	90	1	1	0	0	0	mmu-miR-378a-5p				-0.73	-0.73	< 0.1
Spag11b	ENSMUST00000110767.1	sperm associated antigen 11B 	5	2	1	1	0	0	mmu-miR-378a-5p				-0.73	-0.73	< 0.1
Nme6	ENSMUST00000119376.2	NME/NM23 nucleoside diphosphate kinase 6 	729	3	1	0	2	2	mmu-miR-378a-5p				-0.71	-0.77	< 0.1
Abcb7	ENSMUST00000033695.5	ATP-binding cassette, sub-family B (MDR/TAP), member 7 	2175	3	1	0	2	0	mmu-miR-378a-5p				-0.67	-0.69	< 0.1
Fah	ENSMUST00000032865.10	fumarylacetoacetate hydrolase 	6554	2	1	1	0	1	mmu-miR-378a-5p				-0.66	-0.81	< 0.1
Serp2	ENSMUST00000064517.7	stress-associated endoplasmic reticulum protein family member 2 	15	1	1	0	0	0	mmu-miR-378a-5p				-0.66	-0.66	< 0.1
Slc25a15	ENSMUST00000033871.6	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15 	8694	4	2	1	1	1	mmu-miR-378a-5p				-0.64	-0.66	< 0.1
Sox14	ENSMUST00000054819.9	SRY (sex determining region Y)-box 14 	5	2	1	0	1	0	mmu-miR-378a-5p				-0.62	-0.62	< 0.1
Proca1	ENSMUST00000060539.7	protein interacting with cyclin A1 	104	1	1	0	0	1	mmu-miR-378a-5p				-0.61	-0.61	< 0.1
Gm20826	ENSMUST00000185348.1	predicted gene, 20826 	5	3	0	3	0	2	mmu-miR-378a-5p				-0.60	-0.60	< 0.1
Fam204a	ENSMUST00000065286.1	family with sequence similarity 204, member A 	1405	1	1	0	0	1	mmu-miR-378a-5p				-0.59	-0.59	< 0.1
Zfp114	ENSMUST00000086010.5	zinc finger protein 114 	7	2	2	0	0	2	mmu-miR-378a-5p				-0.58	-0.58	< 0.1
Jtb	ENSMUST00000119304.1	jumping translocation breakpoint 	415	1	1	0	0	1	mmu-miR-378a-5p				-0.58	-0.58	< 0.1
Pm20d2	ENSMUST00000098181.3	peptidase M20 domain containing 2 	20	2	2	0	0	1	mmu-miR-378a-5p				-0.55	-0.76	< 0.1
Rrp1	ENSMUST00000062678.9	ribosomal RNA processing 1 homolog (S. cerevisiae) 	3903	1	1	0	0	0	mmu-miR-378a-5p				-0.55	-0.55	< 0.1
Ddx1	ENSMUST00000071103.8	DEAD (Asp-Glu-Ala-Asp) box polypeptide 1 	2220	1	1	0	0	0	mmu-miR-378a-5p				-0.54	-0.54	< 0.1
Pcbp2	ENSMUST00000077037.6	poly(rC) binding protein 2 	8069	1	1	0	0	0	mmu-miR-378a-5p				-0.54	-0.60	< 0.1
Zfp14	ENSMUST00000077787.7	zinc finger protein 14 	171	1	1	0	0	0	mmu-miR-378a-5p				-0.54	-0.54	< 0.1
1700086D15Rik	ENSMUST00000020855.3	RIKEN cDNA 1700086D15 gene 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.54	-0.54	< 0.1
Wdhd1	ENSMUST00000111791.2	WD repeat and HMG-box DNA binding protein 1 	37	2	2	0	0	0	mmu-miR-378a-5p				-0.53	-0.53	< 0.1
Rdh14	ENSMUST00000020947.5	retinol dehydrogenase 14 (all-trans and 9-cis) 	1825	2	1	0	1	1	mmu-miR-378a-5p				-0.53	-0.64	< 0.1
Tmem184b	ENSMUST00000074991.3	transmembrane protein 184b 	1451	3	1	0	2	0	mmu-miR-378a-5p				-0.53	-0.55	< 0.1
Rp1l1	ENSMUST00000058229.4	retinitis pigmentosa 1 homolog (human)-like 1 	5	1	1	0	0	1	mmu-miR-378a-5p				-0.53	-0.53	< 0.1
Arhgap9	ENSMUST00000069548.5	Rho GTPase activating protein 9 	35	1	1	0	0	0	mmu-miR-378a-5p				-0.52	-0.55	< 0.1
Atg4b	ENSMUST00000027502.10	autophagy related 4B, cysteine peptidase 	1069	2	1	1	0	1	mmu-miR-378a-5p				-0.51	-0.51	< 0.1
Gm11492	ENSMUST00000060360.5	predicted gene 11492 	5	1	1	0	0	0	mmu-miR-378a-5p				-0.51	-0.51	< 0.1
Olfr1033	ENSMUST00000111589.1	olfactory receptor 1033 	52	1	1	0	0	1	mmu-miR-378a-5p				-0.50	-0.54	< 0.1
Pdzd11	ENSMUST00000015812.6	PDZ domain containing 11 	1003	1	1	0	0	0	mmu-miR-378a-5p				-0.50	-0.50	< 0.1
