Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Samd12	ENSMUST00000078673.7	sterile alpha motif domain containing 12 	126	1	1	0	0	6	1	2	3	2	mmu-miR-142a-3p.1	0.2168	1.2775	4.4125	-1.20	-1.30	< 0.1	2009, '11
Cfl2	ENSMUST00000078124.7	cofilin 2, muscle 	11408	1	0	1	0	1	1	0	0	0	mmu-miR-142a-3p.1	0.1619	0.7244	1.6846	-1.01	-1.03	0.66	2005, '07, '09, '11
Wasl	ENSMUST00000031695.9	Wiskott-Aldrich syndrome-like (human) 	2065	2	0	1	1	2	0	0	2	0	mmu-miR-142a-3p.1	0.1231	0.7189	2.4056	-1.01	-1.05	0.78	2007, '09, '11
Hmga2	ENSMUST00000159699.1	high mobility group AT-hook 2 	10108	1	0	1	0	3	0	2	1	0	mmu-miR-142a-3p.1	0.1001	0.6282	2.2618	-0.93	-0.94	0.62	2005, '07, '09, '11
Fam114a1	ENSMUST00000031080.9	family with sequence similarity 114, member A1 	787	1	1	0	0	2	0	1	1	0	mmu-miR-142a-3p.1	0.0302	0.2031	0.9104	-0.78	-0.95	0.82	2007, '09, '11
Ptpn23	ENSMUST00000040021.7	protein tyrosine phosphatase, non-receptor type 23 	345	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0765	0.4174	1.2364	-0.76	-0.77	0.73	2005, '07, '09, '11
Rab3a	ENSMUST00000110093.3	RAB3A, member RAS oncogene family 	1116	1	1	0	0	0	0	0	0	1	mmu-miR-142a-3p.1	0.0927	0.4738	1.2146	-0.76	-0.76	0.37	2005, '07, '09, '11
Arntl	ENSMUST00000047321.7	aryl hydrocarbon receptor nuclear translocator-like 	78	1	1	0	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.0724	0.3949	1.1136	-0.74	-0.76	0.77	2005, '07, '09, '11
Rab12	ENSMUST00000070538.5	RAB12, member RAS oncogene family 	3783	1	0	0	1	1	1	0	0	0	mmu-miR-142a-3p.1	0.0807	0.4505	1.3757	-0.73	-0.73	0.81	2007, '09, '11
4930402H24Rik	ENSMUST00000044766.9	RIKEN cDNA 4930402H24 gene 	2877	2	0	2	0	0	0	0	0	0	mmu-miR-142a-3p.1	0.1271	0.6620	1.6300	-0.73	-0.73	0.96	NULL
