Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Tulp3	ENSMUST00000001562.6	tubby-like protein 3 	128	15	0	15	0	0	mmu-miR-6954-5p				-3.95	-3.95	< 0.1
Dtx3	ENSMUST00000116229.1	deltex 3 homolog (Drosophila) 	137	5	0	4	1	0	mmu-miR-6954-5p				-1.68	-1.75	< 0.1
Ifitm1	ENSMUST00000106042.3	interferon induced transmembrane protein 1 	5540	3	1	1	1	0	mmu-miR-486a-3p				-1.63	-1.63	< 0.1
Ccdc97	ENSMUST00000002683.2	coiled-coil domain containing 97 	579	6	2	3	1	0	mmu-miR-6954-5p				-1.60	-1.72	< 0.1
Prx	ENSMUST00000108355.1	periaxin 	169	5	1	1	3	1	mmu-miR-486a-3p				-1.33	-1.34	< 0.1
Slc15a1	ENSMUST00000088386.6	solute carrier family 15 (oligopeptide transporter), member 1 	14	6	0	6	0	0	mmu-miR-6954-5p				-1.32	-1.32	< 0.1
Hmga1-rs1	ENSMUST00000105046.3	high mobility group AT-hook I, related sequence 1 	6	5	4	1	0	1	mmu-miR-6954-5p				-1.24	-1.96	< 0.1
Tnks1bp1	ENSMUST00000111605.3	tankyrase 1 binding protein 1 	1026	2	1	0	1	0	mmu-miR-6954-5p				-1.22	-1.23	< 0.1
Cbln3	ENSMUST00000063871.6	cerebellin 3 precursor protein 	7	4	2	2	0	1	mmu-miR-6954-5p				-1.22	-1.23	< 0.1
Ttyh3	ENSMUST00000042661.3	tweety homolog 3 (Drosophila) 	425	6	1	4	1	2	mmu-miR-6954-5p				-1.22	-1.22	< 0.1
Hmga1	ENSMUST00000117600.2	high mobility group AT-hook 1 	8	3	2	1	0	0	mmu-miR-6954-5p				-1.21	-1.21	< 0.1
Cdc42ep1	ENSMUST00000059619.1	CDC42 effector protein (Rho GTPase binding) 1 	1544	5	1	2	2	0	mmu-miR-486a-3p				-1.17	-1.17	< 0.1
Pvrl1	ENSMUST00000034510.7	poliovirus receptor-related 1 	150	4	1	2	1	3	mmu-miR-6954-5p				-1.16	-1.16	< 0.1
Stx1a	ENSMUST00000005509.5	syntaxin 1A (brain) 	67	4	2	2	0	1	mmu-miR-486a-3p				-1.15	-1.15	< 0.1
Celsr2	ENSMUST00000090558.4	cadherin, EGF LAG seven-pass G-type receptor 2 (flamingo homolog, Drosophila) 	142	3	0	2	1	1	mmu-miR-6954-5p				-1.14	-1.14	< 0.1
Rph3a	ENSMUST00000079204.5	rabphilin 3A 	5	4	2	1	1	1	mmu-miR-6954-5p				-1.10	-1.10	< 0.1
Asb16	ENSMUST00000036467.4	ankyrin repeat and SOCS box-containing 16 	756	5	0	5	0	0	mmu-miR-6954-5p				-1.10	-1.11	< 0.1
Pou2f2	ENSMUST00000175774.3	POU domain, class 2, transcription factor 2 	8	5	0	4	1	1	mmu-miR-6954-5p				-1.08	-1.08	< 0.1
Angel1	ENSMUST00000021682.8	angel homolog 1 (Drosophila) 	10	1	1	0	0	2	mmu-miR-486a-3p				-1.08	-1.22	< 0.1
Nat8l	ENSMUST00000056355.8	N-acetyltransferase 8-like 	183	3	2	1	0	2	mmu-miR-6954-5p				-1.06	-1.12	< 0.1
Abcg4	ENSMUST00000034648.10	ATP-binding cassette, sub-family G (WHITE), member 4 	5	3	1	1	1	0	mmu-miR-486a-3p				-1.05	-1.05	< 0.1
Zbtb16	ENSMUST00000093852.3	zinc finger and BTB domain containing 16 	1034	5	1	3	1	2	mmu-miR-6954-5p				-1.04	-1.05	< 0.1
Fam131c	ENSMUST00000006380.4	family with sequence similarity 131, member C 	49	2	2	0	0	0	mmu-miR-6954-5p				-1.01	-1.01	< 0.1
Nlrp3	ENSMUST00000101148.3	NLR family, pyrin domain containing 3 	18	3	2	1	0	0	mmu-miR-486a-3p				-1.01	-1.01	< 0.1
Hrh3	ENSMUST00000056480.4	histamine receptor H3 	5	3	1	0	2	0	mmu-miR-486a-3p				-1.00	-1.00	< 0.1
Spock2	ENSMUST00000121820.3	sparc/osteonectin, cwcv and kazal-like domains proteoglycan 2 	896	6	1	4	1	2	mmu-miR-6954-5p				-1.00	-1.21	< 0.1
Stx1b	ENSMUST00000106267.3	syntaxin 1B 	107	3	2	1	0	2	mmu-miR-486a-3p				-1.00	-1.00	< 0.1
Src	ENSMUST00000029175.8	Rous sarcoma oncogene 	1288	5	1	3	1	2	mmu-miR-486a-3p				-0.97	-1.20	< 0.1
Smim24	ENSMUST00000105322.3	small integral membrane protein 24 	936	2	1	1	0	0	mmu-miR-6954-5p				-0.97	-0.97	< 0.1
Bgn	ENSMUST00000033741.9	biglycan 	8837	2	2	0	0	0	mmu-miR-486a-3p				-0.96	-0.97	< 0.1
Dlk2	ENSMUST00000170271.1	delta-like 2 homolog (Drosophila) 	7	4	0	1	3	0	mmu-miR-6954-5p				-0.95	-0.95	< 0.1
Rhog	ENSMUST00000098230.5	ras homolog gene family, member G 	115	3	1	1	1	1	mmu-miR-6954-5p				-0.95	-1.14	< 0.1
Klhdc3	ENSMUST00000165007.2	kelch domain containing 3 	64	2	1	1	0	1	mmu-miR-6954-5p				-0.94	-1.02	< 0.1
Foxd2	ENSMUST00000068654.4	forkhead box D2 	18	3	2	1	0	0	mmu-miR-486a-3p				-0.94	-0.94	< 0.1
Psenen	ENSMUST00000043898.6	presenilin enhancer 2 homolog (C. elegans) 	49	1	1	0	0	0	mmu-miR-6954-5p				-0.94	-0.94	< 0.1
Msrb1	ENSMUST00000101800.5	methionine sulfoxide reductase B1 	9016	4	0	3	1	0	mmu-miR-6954-5p				-0.93	-0.93	< 0.1
Grin2b	ENSMUST00000053880.7	glutamate receptor, ionotropic, NMDA2B (epsilon 2) 	5	5	0	1	4	1	mmu-miR-486a-3p				-0.93	-0.93	< 0.1
Mecp2	ENSMUST00000100750.4	methyl CpG binding protein 2 	845	4	3	0	1	2	mmu-miR-486a-3p				-0.92	-1.69	< 0.1
Baiap3	ENSMUST00000182056.2	BAI1-associated protein 3 	21	4	0	1	3	0	mmu-miR-486a-3p				-0.92	-0.92	< 0.1
Camk2a	ENSMUST00000102888.4	calcium/calmodulin-dependent protein kinase II alpha 	1793	5	3	1	1	2	mmu-miR-486a-3p				-0.92	-0.98	< 0.1
Atxn7l3	ENSMUST00000107134.2	ataxin 7-like 3 	108	4*	2	1	0	3	mmu-miR-6954-5p				-0.91	-0.92	< 0.1
Ptms	ENSMUST00000032216.6	parathymosin 	5395	3	1	2	0	0	mmu-miR-6954-5p				-0.90	-1.11	< 0.1
Slc7a8	ENSMUST00000022787.6	solute carrier family 7 (cationic amino acid transporter, y+ system), member 8 	33	4	2	2	0	0	mmu-miR-486a-3p				-0.90	-0.90	< 0.1
Tspan9	ENSMUST00000112173.2	tetraspanin 9 	534	4	1	2	1	0	mmu-miR-486a-3p				-0.89	-1.12	< 0.1
Emc10	ENSMUST00000118515.2	ER membrane protein complex subunit 10 	10634	4	1	2	1	2	mmu-miR-6954-5p				-0.89	-1.48	< 0.1
Trak1	ENSMUST00000045903.6	trafficking protein, kinesin binding 1 	668	2	2	0	0	0	mmu-miR-486a-3p				-0.89	-0.95	< 0.1
Sept9	ENSMUST00000093907.5	septin 9 	8050	4	1	2	1	2	mmu-miR-6954-5p				-0.88	-0.89	< 0.1
Lhfpl4	ENSMUST00000162280.1	lipoma HMGIC fusion partner-like protein 4 	17	3	2	0	1	0	mmu-miR-486a-3p				-0.88	-0.88	< 0.1
Polr2i	ENSMUST00000108193.1	polymerase (RNA) II (DNA directed) polypeptide I 	2203	1	1	0	0	0	mmu-miR-486a-3p				-0.88	-0.88	< 0.1
Naa10	ENSMUST00000114387.2	N(alpha)-acetyltransferase 10, NatA catalytic subunit 	2306	3	2	0	1	2	mmu-miR-6954-5p				-0.88	-1.34	< 0.1
Pcsk4	ENSMUST00000020340.9	proprotein convertase subtilisin/kexin type 4 	61	3	2	1	0	0	mmu-miR-6954-5p				-0.87	-0.87	< 0.1
Slc36a1	ENSMUST00000108872.3	solute carrier family 36 (proton/amino acid symporter), member 1 	541	6	0	3	3	1	mmu-miR-6954-5p				-0.87	-0.91	< 0.1
Ifitm2	ENSMUST00000081649.8	interferon induced transmembrane protein 2 	17027	2	0	2	0	0	mmu-miR-6954-5p				-0.86	-0.86	< 0.1
Aif1l	ENSMUST00000001920.7	allograft inflammatory factor 1-like 	572	4	0	2	2	0	mmu-miR-486a-3p				-0.86	-0.97	< 0.1
Dcakd	ENSMUST00000021313.3	dephospho-CoA kinase domain containing 	478	2	2	0	0	0	mmu-miR-486a-3p				-0.84	-0.86	< 0.1
Ppp1r11	ENSMUST00000040402.8	protein phosphatase 1, regulatory (inhibitor) subunit 11 	6087	2	1	1	0	0	mmu-miR-486a-3p				-0.84	-1.15	< 0.1
Ctsd	ENSMUST00000151120.2	cathepsin D 	2905	2	1	1	0	0	mmu-miR-6954-5p				-0.83	-0.84	< 0.1
Ceacam19	ENSMUST00000052605.7	carcinoembryonic antigen-related cell adhesion molecule 19 	6	2	2	0	0	0	mmu-miR-486a-3p				-0.83	-0.83	< 0.1
Tada2b	ENSMUST00000031097.7	transcriptional adaptor 2B 	41	4	1	3	0	0	mmu-miR-6954-5p				-0.83	-1.04	< 0.1
Maf	ENSMUST00000109104.1	avian musculoaponeurotic fibrosarcoma (v-maf) AS42 oncogene homolog 	2481	2	2	0	0	2	mmu-miR-486a-3p				-0.82	-0.83	< 0.1
Syngap1	ENSMUST00000081285.4	synaptic Ras GTPase activating protein 1 homolog (rat) 	170	4	0	4	0	1	mmu-miR-6954-5p				-0.82	-0.83	< 0.1
Josd1	ENSMUST00000023061.5	Josephin domain containing 1 	597	5	2	1	2	1	mmu-miR-486a-3p				-0.82	-1.20	< 0.1
Tpbpb	ENSMUST00000080766.6	trophoblast specific protein beta 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.81	-0.81	< 0.1
Fibcd1	ENSMUST00000028188.7	fibrinogen C domain containing 1 	5	4	2	2	0	0	mmu-miR-6954-5p				-0.81	-0.81	< 0.1
Pnpla2	ENSMUST00000164016.2	patatin-like phospholipase domain containing 2 	18292	2	1	1	0	0	mmu-miR-486a-3p				-0.80	-0.80	< 0.1
9130023H24Rik	ENSMUST00000078816.3	RIKEN cDNA 9130023H24 gene 	119	3	1	2	0	0	mmu-miR-6954-5p				-0.80	-0.82	< 0.1
Wfikkn2	ENSMUST00000061469.3	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 	47	1	1	0	0	1	mmu-miR-486a-3p				-0.80	-0.80	< 0.1
Doc2a	ENSMUST00000064110.8	double C2, alpha 	30	3	2	0	1	1	mmu-miR-486a-3p				-0.80	-0.84	< 0.1
Agpat1	ENSMUST00000037489.9	1-acylglycerol-3-phosphate O-acyltransferase 1 (lysophosphatidic acid acyltransferase, alpha) 	478	2	2	0	0	0	mmu-miR-486a-3p				-0.80	-0.81	< 0.1
Fxyd6	ENSMUST00000085939.6	FXYD domain-containing ion transport regulator 6 	1033	5	1	2	2	0	mmu-miR-6954-5p				-0.80	-1.16	< 0.1
Zer1	ENSMUST00000044751.9	zyg-11 related, cell cycle regulator 	55	3	1	1	1	0	mmu-miR-486a-3p				-0.79	-0.79	< 0.1
Pax2	ENSMUST00000004340.5	paired box 2 	13	5	3	1	1	0	mmu-miR-6954-5p				-0.78	-0.92	< 0.1
Aes	ENSMUST00000002518.8	amino-terminal enhancer of split 	7865	2	0	2	0	0	mmu-miR-6954-5p				-0.78	-0.79	< 0.1
Fam47e	ENSMUST00000175974.1	family with sequence similarity 47, member E 	140	4	2	0	2	0	mmu-miR-486a-3p				-0.78	-1.49	< 0.1
Rap1gap	ENSMUST00000097837.5	Rap1 GTPase-activating protein 	845	2	2	0	0	0	mmu-miR-486a-3p				-0.78	-0.78	< 0.1
Mcpt4	ENSMUST00000043249.8	mast cell protease 4 	18	3	0	3	0	0	mmu-miR-6954-5p				-0.78	-0.78	< 0.1
D2hgdh	ENSMUST00000097633.4	D-2-hydroxyglutarate dehydrogenase 	18	2	1	1	0	0	mmu-miR-486a-3p				-0.77	-0.77	< 0.1
Zfp653	ENSMUST00000179605.2	zinc finger protein 653 	46	3	2	0	1	0	mmu-miR-486a-3p				-0.77	-0.85	< 0.1
Rerg	ENSMUST00000032347.5	RAS-like, estrogen-regulated, growth-inhibitor 	50	2	1	1	0	0	mmu-miR-486a-3p				-0.77	-0.77	< 0.1
Tmem141	ENSMUST00000142087.1	transmembrane protein 141 	1435	1	1	0	0	0	mmu-miR-486a-3p				-0.76	-0.77	< 0.1
Cma2	ENSMUST00000089555.2	chymase 2, mast cell 	5	2	0	2	0	0	mmu-miR-6954-5p				-0.76	-0.76	< 0.1
Adam15	ENSMUST00000107448.3	a disintegrin and metallopeptidase domain 15 (metargidin) 	1744	2	1	1	0	0	mmu-miR-486a-3p				-0.76	-0.97	< 0.1
Cacnb1	ENSMUST00000017552.7	calcium channel, voltage-dependent, beta 1 subunit 	761	4	0	3	1	1	mmu-miR-6954-5p				-0.76	-0.76	< 0.1
Bcl2l1	ENSMUST00000007803.6	BCL2-like 1 	524	3	1	1	1	0	mmu-miR-6954-5p				-0.75	-0.76	< 0.1
Kcna2	ENSMUST00000038695.1	potassium voltage-gated channel, shaker-related subfamily, member 2 	106	5	2	1	2	2	mmu-miR-6954-5p				-0.75	-0.79	< 0.1
Gps1	ENSMUST00000100134.4	G protein pathway suppressor 1 	89	2	1	0	1	0	mmu-miR-486a-3p				-0.75	-0.77	< 0.1
Arl8a	ENSMUST00000027684.5	ADP-ribosylation factor-like 8A 	1254	2	1	1	0	0	mmu-miR-6954-5p				-0.75	-0.75	< 0.1
Ssu2	ENSMUST00000060847.5	ssu-2 homolog (C. elegans) 	6	1	1	0	0	0	mmu-miR-486a-3p				-0.75	-0.75	< 0.1
Paqr6	ENSMUST00000147991.1	progestin and adipoQ receptor family member VI 	5	2	2	0	0	0	mmu-miR-486a-3p				-0.75	-0.75	< 0.1
Med22	ENSMUST00000102899.4	mediator complex subunit 22 	351	3	1	1	1	0	mmu-miR-486a-3p				-0.75	-0.76	< 0.1
Fam3a	ENSMUST00000114143.4	family with sequence similarity 3, member A 	306	3	0	2	1	2	mmu-miR-6954-5p				-0.75	-0.99	< 0.1
Trabd2b	ENSMUST00000094894.3	TraB domain containing 2B 	881	2	2	0	0	2	mmu-miR-6954-5p				-0.74	-0.84	< 0.1
S100a10	ENSMUST00000045756.8	S100 calcium binding protein A10 (calpactin) 	37983	0	0	0	0	0	mmu-miR-486a-3p				-0.74	-0.74	< 0.1
4921536K21Rik	ENSMUST00000020712.4	RIKEN cDNA 4921536K21 gene 	7	1	0	1	0	0	mmu-miR-486a-3p				-0.74	-0.74	< 0.1
Vipr2	ENSMUST00000011315.4	vasoactive intestinal peptide receptor 2 	174	2	1	1	0	0	mmu-miR-6954-5p				-0.74	-0.74	< 0.1
Vamp2	ENSMUST00000117780.1	vesicle-associated membrane protein 2 	828	2	1	1	0	4	mmu-miR-6954-5p				-0.74	-0.90	< 0.1
Gnpda1	ENSMUST00000063814.9	glucosamine-6-phosphate deaminase 1 	25	2	0	2	0	0	mmu-miR-6954-5p				-0.73	-0.73	< 0.1
Cd3e	ENSMUST00000102832.1	CD3 antigen, epsilon polypeptide 	9	2	1	1	0	0	mmu-miR-486a-3p				-0.73	-0.73	< 0.1
Peli3	ENSMUST00000120475.2	pellino 3 	65	2	1	0	1	1	mmu-miR-486a-3p				-0.73	-0.76	< 0.1
Syndig1l	ENSMUST00000095550.2	synapse differentiation inducing 1 like 	5	2	2	0	0	0	mmu-miR-486a-3p				-0.73	-0.73	< 0.1
BC018242	ENSMUST00000190387.1	cDNA sequence BC018242 	93	3	0	2	1	1	mmu-miR-6954-5p				-0.73	-0.75	< 0.1
Lcn2	ENSMUST00000050785.8	lipocalin 2 	176	1	1	0	0	1	mmu-miR-486a-3p				-0.73	-0.77	< 0.1
Fam102a	ENSMUST00000048375.5	family with sequence similarity 102, member A 	206	2	2	0	0	0	mmu-miR-486a-3p				-0.72	-0.72	< 0.1
Ptprcap	ENSMUST00000061086.8	protein tyrosine phosphatase, receptor type, C polypeptide-associated protein 	15	1	1	0	0	0	mmu-miR-486a-3p				-0.72	-0.72	< 0.1
Krt73	ENSMUST00000063292.6	keratin 73 	5	2	1	1	0	0	mmu-miR-6954-5p				-0.72	-0.72	< 0.1
Pik3cd	ENSMUST00000038859.8	phosphatidylinositol 3-kinase catalytic delta polypeptide 	20	3	2	0	1	0	mmu-miR-6954-5p				-0.72	-1.09	< 0.1
Cnn1	ENSMUST00000001384.4	calponin 1 	981	2	1	1	0	0	mmu-miR-486a-3p				-0.71	-0.71	< 0.1
Ifitm5	ENSMUST00000026562.4	interferon induced transmembrane protein 5 	5	1	1	0	0	0	mmu-miR-486a-3p				-0.71	-0.71	< 0.1
1810041L15Rik	ENSMUST00000080751.3	RIKEN cDNA 1810041L15 gene 	25	4	1	3	0	0	mmu-miR-6954-5p				-0.71	-1.00	< 0.1
Clec16a	ENSMUST00000115823.1	C-type lectin domain family 16, member A 	490	4	2	2	0	1	mmu-miR-6954-5p				-0.71	-0.77	< 0.1
