Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Fyco1	ENSMUST00000167595.3	FYVE and coiled-coil domain containing 1 	716	37*	13	1	0	0	mmu-miR-574-5p	0.8811	4.4469	10.2646	-3.16	-3.41	< 0.1
Elfn1	ENSMUST00000050519.6	leucine rich repeat and fibronectin type III, extracellular 1 	11	7*	3	0	2	0	mmu-miR-574-5p	0.1522	0.8954	2.8957	-2.13	-2.13	< 0.1
Car10	ENSMUST00000107863.2	carbonic anhydrase 10 	5	9*	3	0	0	0	mmu-miR-574-5p	0.2244	0.9131	1.7325	-1.43	-1.43	< 0.1
Iars	ENSMUST00000165316.2	isoleucine-tRNA synthetase 	594	4*	2	1	0	1	mmu-miR-574-5p	0.1259	0.7020	2.0723	-1.30	-1.33	< 0.1
Nlrc3	ENSMUST00000180200.2	NLR family, CARD domain containing 3 	24	15	7	8	0	0	mmu-miR-574-5p	0.1491	1.0180	5.0182	-1.29	-1.29	< 0.1
Gm5615	ENSMUST00000098900.2	predicted gene 5615 	5	9*	2	1	0	0	mmu-miR-574-5p	0.1391	0.7437	1.9324	-1.21	-1.21	< 0.1
Rgs5	ENSMUST00000027997.3	regulator of G-protein signaling 5 	2393	7*	3	1	0	0	mmu-miR-574-5p	0.1068	0.6339	1.9976	-1.19	-1.22	< 0.1
Rnasel	ENSMUST00000182538.2	ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent) 	275	6*	2	0	0	1	mmu-miR-574-5p	0.1702	0.8593	2.1812	-1.12	-1.12	< 0.1
Gm21092	ENSMUST00000178995.1	predicted gene, 21092 	5	6*	0	1	2	0	mmu-miR-574-5p	0.0977	0.5688	2.0091	-1.10	-1.10	< 0.1
Cat	ENSMUST00000028610.4	catalase 	36321	5*	2	0	1	0	mmu-miR-574-5p	0.1419	0.5709	1.0992	-1.09	-1.17	< 0.1
Vti1a	ENSMUST00000095950.2	vesicle transport through interaction with t-SNAREs 1A 	693	6*	4	1	0	0	mmu-miR-574-5p	0.0925	0.5221	1.5205	-1.05	-1.84	< 0.1
Mfsd6	ENSMUST00000156876.2	major facilitator superfamily domain containing 6 	311	7*	3	0	0	0	mmu-miR-574-5p	0.2483	1.1997	2.5255	-1.02	-1.02	< 0.1
Inhba	ENSMUST00000164993.1	inhibin beta-A 	2084	23*	3	1	0	0	mmu-miR-574-5p	0.2049	1.0942	2.8582	-1.02	-1.03	< 0.1
Gm15737	ENSMUST00000113434.1	predicted gene 15737 	10	5	1	2	2	0	mmu-miR-574-5p	0.1004	0.6327	2.4810	-1.02	-1.02	< 0.1
Gm6483	ENSMUST00000127799.1	predicted gene 6483 	7	6*	1	1	2	0	mmu-miR-574-5p	0.0987	0.5757	2.0395	-1.01	-1.01	< 0.1
Wdr52	ENSMUST00000099742.3	WD repeat domain 52 	92	2*	0	0	0	2	mmu-miR-574-5p	0.0066	0.0475	0.2975	-1.00	0	< 0.1
