Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Hmga2	ENSMUST00000159699.1	high mobility group AT-hook 2 	10108	7	1	3	3	0	0	0	0	0	mmu-let-7d-5p	0.2025	1.1861	3.8369	-2.59	-2.61	> 0.99	2005, '07, '09, '11
Nr6a1	ENSMUST00000168098.2	nuclear receptor subfamily 6, group A, member 1 	1815	4	2	2	0	4	1	3	0	0	mmu-let-7d-5p	0.2361	1.3748	4.4203	-2.08	-2.08	> 0.99	2005, '07, '09, '11
Trim71	ENSMUST00000111816.2	tripartite motif-containing 71 	123	6	4	0	2	0	0	0	0	0	mmu-let-7d-5p	0.1555	0.9442	3.2495	-1.78	-1.81	> 0.99	2007, '09, '11
Arid3b	ENSMUST00000171444.2	AT rich interactive domain 3B (BRIGHT-like) 	253	3	0	1	2	2	0	0	2	0	mmu-let-7d-5p	0.0930	0.6044	2.5468	-1.52	-1.53	> 0.99	2005, '07, '09, '11
Lin28b	ENSMUST00000079390.6	lin-28 homolog B (C. elegans) 	191	5	1	3	1	0	0	0	0	0	mmu-let-7i-5p	0.1440	0.8776	2.9774	-1.34	-1.52	> 0.99	2005, '07, '09, '11
Fign	ENSMUST00000131615.3	fidgetin 	56	6	3	0	3	0	0	0	0	0	mmu-let-7d-5p	0.1117	0.6475	2.1858	-1.23	-2.02	> 0.99	2007, '09, '11
Vstm5	ENSMUST00000034413.6	V-set and transmembrane domain containing 5 	15	2	2	0	0	1	0	0	1	0	mmu-let-7d-5p	0.0740	0.4351	1.3497	-1.23	-1.23	> 0.99	2009, '11
Arid3a	ENSMUST00000019708.6	AT rich interactive domain 3A (BRIGHT-like) 	411	3	1	1	1	1	0	0	1	0	mmu-let-7d-5p	0.0932	0.5835	2.2034	-1.17	-1.20	> 0.99	2007, '09, '11
Fignl2	ENSMUST00000178140.1	fidgetin-like 2 	173	3	3	0	0	0	0	0	0	0	mmu-let-7d-5p	0.1099	0.6494	2.0138	-1.13	-1.14	> 0.99	2007, '11
Adrb3	ENSMUST00000081438.4	adrenergic receptor, beta 3 	166	2	2	0	0	0	0	0	0	0	mmu-let-7d-5p	0.0739	0.4418	1.3787	-1.07	-1.08	> 0.99	2005, '07, '09, '11
Igdcc3	ENSMUST00000034961.4	immunoglobulin superfamily, DCC subclass, member 3 	158	3	3	0	0	1	0	1	0	0	mmu-let-7d-5p	0.0955	0.6016	2.1900	-1.05	-1.06	> 0.99	2007, '09, '11
Lin28a	ENSMUST00000051674.2	lin-28 homolog A (C. elegans) 	1253	2	2	0	0	0	0	0	0	0	mmu-let-7i-5p	0.2341	0.9999	1.8661	-1.02	-1.03	> 0.99	2007, '09, '11
Cdc34	ENSMUST00000020550.6	cell division cycle 34 	269	2	1	0	1	0	0	0	0	0	mmu-let-7g-5p	0.0588	0.3614	1.2150	-1.00	-1.01	> 0.99	2005, '07, '09, '11
Hic2	ENSMUST00000090190.6	hypermethylated in cancer 2 	70	4	1	3	0	1	0	0	1	0	mmu-let-7d-5p	0.0980	0.6556	2.9717	-0.99	-1.03	> 0.99	2005, '07, '09, '11
Clcn5	ENSMUST00000004428.8	chloride channel 5 	504	3	1	1	1	3	0	0	3	1	mmu-let-7d-5p	0.0788	0.5147	2.2378	-0.86	-0.97	> 0.99	2007
Gm527	ENSMUST00000058135.4	predicted gene 527 	90	2	1	1	0	1	0	0	1	0	mmu-miR-98-5p	0.0840	0.5033	1.5769	-0.85	-1.24	0.98	NULL
Cdc34-ps	ENSMUST00000188741.1	cell division cycle 34 homolog, pseudogene (S. cerevisiae) 	5	1	1	0	0	1	0	0	1	0	mmu-let-7g-5p	0.0621	0.3809	1.2724	-0.84	-0.84	0.25	NULL
Stx3	ENSMUST00000069285.4	syntaxin 3 	212	1	1	0	0	1	0	0	1	2	mmu-let-7d-5p	0.0591	0.3641	1.4096	-0.84	-0.86	0.96	2007, '09, '11
Tmem198b	ENSMUST00000051011.8	transmembrane protein 198b 	35	2	0	2	0	1	0	1	0	0	mmu-let-7c-5p	0.0459	0.3048	1.3147	-0.83	-0.89	0.98	2009, '11
Igf1r	ENSMUST00000005671.8	insulin-like growth factor I receptor 	2095	3	1	1	1	0	0	0	0	0	mmu-let-7b-5p	0.1207	0.6496	2.0186	-0.83	-0.87	> 0.99	2005, '07, '09, '11
Yod1	ENSMUST00000049813.5	YOD1 OTU deubiquitinating enzyme 1 homologue (S. cerevisiae) 	447	2	1	1	0	0	0	0	0	0	mmu-let-7d-5p	0.0614	0.3771	1.2608	-0.83	-0.84	> 0.99	2007, '09, '11
Zc3hav1l	ENSMUST00000058524.2	zinc finger CCCH-type, antiviral 1-like 	144	2	2	0	0	2	0	1	1	1	mmu-let-7d-5p	0.0770	0.4781	1.7761	-0.83	-1.04	0.99	2009, '11
Znf512b	ENSMUST00000108789.3	zinc finger protein 512B 	280	3	0	3	0	0	0	0	0	0	mmu-let-7f-5p	0.0921	0.5641	1.9307	-0.82	-0.83	> 0.99	2011
Bzw1	ENSMUST00000050552.9	basic leucine zipper and W2 domains 1 	3021	2	0	2	0	0	0	0	0	0	mmu-let-7a-5p	0.0485	0.3100	1.1562	-0.80	-0.80	> 0.99	2005, '07, '09, '11
Hand1	ENSMUST00000160392.3	heart and neural crest derivatives expressed transcript 1 	5	1	1	0	0	0	0	0	0	1	mmu-let-7k	0.0489	0.2877	0.9283	-0.79	-0.79	0.98	2005, '07, '09, '11
Skil	ENSMUST00000118470.2	SKI-like 	1628	3	1	0	2	0	0	0	0	0	mmu-let-7d-5p	0.0452	0.2949	1.2372	-0.78	-0.94	> 0.99	2009, '11
Olfr406	ENSMUST00000133561.4	olfactory receptor 406 	5	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	0.0269	0.1699	0.6087	-0.78	-0.78	< 0.1	NULL
Ccr7	ENSMUST00000103134.3	chemokine (C-C motif) receptor 7 	8	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	0.0659	0.3660	1.0585	-0.78	-0.78	0.90	2005, '07, '09, '11
Cd200r1	ENSMUST00000057488.9	CD200 receptor 1 	73	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	0.0649	0.3431	0.8501	-0.75	-0.87	0.97	2005, '09, '11
Cldn12	ENSMUST00000179804.2	claudin 12 	308	1	1	0	0	1	0	1	0	0	mmu-let-7f-5p	0.0982	0.5366	1.4111	-0.73	-0.75	0.95	2005, '07, '09, '11
Adamts8	ENSMUST00000068135.7	a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 8 	669	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	0.0745	0.3986	1.1060	-0.73	-0.73	0.98	2007, '09, '11
Zbtb16	ENSMUST00000093852.3	zinc finger and BTB domain containing 16 	1034	3	1	1	1	0	0	0	0	0	mmu-let-7g-5p	0.0874	0.5422	1.9351	-0.73	-0.74	> 0.99	2009, '11
Pbx3	ENSMUST00000113132.3	pre B cell leukemia homeobox 3 	691	2	0	1	1	0	0	0	0	1	mmu-let-7b-5p	0.0813	0.4881	1.5766	-0.73	-0.73	> 0.99	2005, '07, '09, '11
Gan	ENSMUST00000064488.5	giant axonal neuropathy 	541	3	2	0	1	0	0	0	0	2	mmu-let-7d-5p	0.1000	0.5980	2.1023	-0.73	-0.81	> 0.99	2005, '07
Gpatch3	ENSMUST00000030662.2	G patch domain containing 3 	174	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	0.0292	0.1816	0.6212	-0.72	-0.72	0.94	2007, '09, '11
Hoxb1	ENSMUST00000019117.2	homeobox B1 	5	1	1	0	0	0	0	0	0	1	mmu-let-7d-5p	0.1003	0.4944	1.2110	-0.71	-0.71	0.97	2011
Hif1an	ENSMUST00000040455.4	hypoxia-inducible factor 1, alpha subunit inhibitor 	1413	1	1	0	0	5	1	2	2	0	mmu-let-7d-5p	0.0832	0.5434	2.3507	-0.70	-0.86	0.80	2005, '07, '09, '11
Dtx2	ENSMUST00000111142.3	deltex 2 homolog (Drosophila) 	308	2	1	0	1	0	0	0	0	0	mmu-let-7d-5p	0.0258	0.1766	0.8459	-0.70	-0.70	0.91	2005, '07, '09, '11
Ngf	ENSMUST00000106925.3	nerve growth factor 	1496	1	1	0	0	0	0	0	0	0	mmu-let-7d-5p	0.0212	0.1386	0.5548	-0.70	-0.70	0.98	2007, '09, '11
Fam83g	ENSMUST00000093019.5	family with sequence similarity 83, member G 	123	1	1	0	0	1	1	0	0	1	mmu-let-7d-5p	0.0638	0.4125	1.6923	-0.69	-0.78	0.14	2011
Tmprss11f	ENSMUST00000116553.3	transmembrane protease, serine 11f 	7	2	2	0	0	1	0	0	1	0	mmu-let-7d-5p	0.0528	0.3327	1.2558	-0.68	-0.98	0.93	2005, '07, '09, '11
Lipt2	ENSMUST00000032967.3	lipoyl(octanoyl) transferase 2 (putative) 	71	1	1	0	0	1	0	0	1	0	mmu-let-7d-5p	0.0531	0.3036	0.8822	-0.67	-0.87	0.75	2009, '11
