Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Serp1	ENSMUST00000029385.7	stress-associated endoplasmic reticulum protein 1 	4897	3	0	0	3	1	0	1	0	1	mmu-miR-1a-3p	0.0663	0.4321	1.8118	-1.02	-1.10	0.97	2005, '07, '09, '11
Fam150b	ENSMUST00000067087.6	family with sequence similarity 150, member B 	43	1	1	0	0	1	1	0	0	0	mmu-miR-1a-3p	0.0476	0.3054	1.1461	-0.96	-0.96	< 0.1	2007, '11
Coro1c	ENSMUST00000004646.7	coronin, actin binding protein 1C 	1410	2	2	0	0	1	0	0	1	0	mmu-miR-206-3p	0.0432	0.2965	1.4592	-0.87	-0.87	0.94	2005, '07, '09, '11
Sri	ENSMUST00000088786.5	sorcin 	2933	1	1	0	0	1	1	0	0	1	mmu-miR-1a-3p	0.0582	0.3296	0.9048	-0.75	-1.11	0.90	2005, '07, '09, '11
Tmsb4x	ENSMUST00000112172.3	thymosin, beta 4, X chromosome 	714	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0370	0.2190	0.6558	-0.74	-0.79	0.85	2005, '07, '09, '11
Gja1	ENSMUST00000068581.7	gap junction protein, alpha 1 	1887	2	2	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0628	0.3635	1.1252	-0.71	-0.72	> 0.99	2005, '07, '09, '11
Tpm4	ENSMUST00000003575.9	tropomyosin 4 	2694	1	1	0	0	2	0	1	1	0	mmu-miR-206-3p	0.0826	0.4519	1.2729	-0.70	-0.71	0.65	2005, '07, '09, '11
Pgrmc1	ENSMUST00000073339.6	progesterone receptor membrane component 1 	306	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0513	0.2900	0.7968	-0.70	-0.76	0.72	2005, '07, '09, '11
Bscl2	ENSMUST00000171649.2	Berardinelli-Seip congenital lipodystrophy 2 homolog (seipin) 	1251	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0209	0.1365	0.5384	-0.67	-0.68	0.25	2005, '07, '09, '11
Pirt	ENSMUST00000123434.2	phosphoinositide-interacting regulator of transient receptor potential channels 	22	1	1	0	0	4	1	2	1	2	mmu-miR-1a-3p	0.0732	0.4747	1.9890	-0.66	-0.70	0.75	2009, '11
Cxcl11	ENSMUST00000077820.5	chemokine (C-X-C motif) ligand 11 	26	1	0	1	0	1	0	1	0	0	mmu-miR-1a-3p	0.0635	0.3857	1.2595	-0.66	-0.66	0.53	2005, '07, '09, '11
Ip6k2	ENSMUST00000085018.4	inositol hexaphosphate kinase 2 	542	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0402	0.2365	0.6980	-0.66	-0.66	0.88	2009, '11
Slc44a1	ENSMUST00000107651.3	solute carrier family 44, member 1 	2727	2	2	0	0	1	0	0	1	1	mmu-miR-206-3p	0.0833	0.5254	1.9304	-0.64	-0.64	0.91	2007
Srsf9	ENSMUST00000031513.8	serine/arginine-rich splicing factor 9 	4443	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0344	0.2083	0.6602	-0.64	-0.64	0.93	2007, '09, '11
Ptplad1	ENSMUST00000036615.5	protein tyrosine phosphatase-like A domain containing 1 	345	2	1	1	0	0	0	0	0	0	mmu-miR-206-3p	0.0453	0.2932	1.1472	-0.63	-0.67	0.89	2007, '09, '11
Eif1ax	ENSMUST00000087143.6	eukaryotic translation initiation factor 1A, X-linked 	4834	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0672	0.3505	0.8285	-0.62	-0.67	0.91	2005, '07, '09, '11
Mea1	ENSMUST00000002845.6	male enhanced antigen 1 	69	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0575	0.3107	0.7691	-0.62	-0.62	< 0.1	2005, '07, '09, '11
Mmd	ENSMUST00000004050.6	monocyte to macrophage differentiation-associated 	7036	2	1	0	1	0	0	0	0	0	mmu-miR-1a-3p	0.0492	0.3203	1.3151	-0.62	-0.62	0.98	2005, '07, '09, '11
Rit2	ENSMUST00000153060.2	Ras-like without CAAX 2 	5	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0856	0.4133	0.8896	-0.61	-0.61	0.85	2005, '07, '09, '11
Ndrg3	ENSMUST00000069600.7	N-myc downstream regulated gene 3 	139	1	1	0	0	0	0	0	0	1	mmu-miR-1a-3p	0.0896	0.4497	1.1325	-0.59	-0.60	0.84	2007, '09, '11
Ets1	ENSMUST00000184887.1	E26 avian leukemia oncogene 1, 5' domain 	870	1	1	0	0	3	1	1	1	0	mmu-miR-206-3p	0.0944	0.5636	1.9128	-0.59	-0.66	0.91	2005, '07, '09, '11
Ppib	ENSMUST00000034947.5	peptidylprolyl isomerase B 	19866	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0203	0.1331	0.5313	-0.59	-0.59	0.66	2005, '07, '09, '11
Bdnf	ENSMUST00000053317.6	brain derived neurotrophic factor 	576	2	0	2	0	1	0	1	0	0	mmu-miR-1a-3p	0.0451	0.2875	1.0822	-0.58	-0.70	0.97	2005, '07, '09, '11
E2f5	ENSMUST00000029069.7	E2F transcription factor 5 	448	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0424	0.2489	0.7496	-0.57	-0.57	0.82	2005, '07, '09, '11
Smim14	ENSMUST00000139122.2	small integral membrane protein 14 	3795	1	1	0	0	0	0	0	0	0	mmu-miR-1a-3p	0.0402	0.2356	0.6895	-0.56	-0.57	0.92	2007, '09, '11
Unc50	ENSMUST00000027285.7	unc-50 homolog (C. elegans) 	833	1	0	1	0	0	0	0	0	0	mmu-miR-206-3p	0.0266	0.1682	0.6024	-0.55	-0.55	0.81	2005, '07, '09, '11
Ust	ENSMUST00000061601.7	uronyl-2-sulfotransferase 	137	2	1	1	0	0	0	0	0	3	mmu-miR-1a-3p	0.0620	0.4019	1.6521	-0.54	-0.58	0.95	2005, '07, '09, '11
Anxa2	ENSMUST00000034756.9	annexin A2 	11253	1	1	0	0	0	0	0	0	0	mmu-miR-206-3p	0.0250	0.1593	0.5827	-0.54	-0.54	0.92	2005, '07, '09, '11
