Target gene	Representative transcript	Gene name	3P-seq tags + 5	Conserved sites total	Conserved 8mer sites	Conserved 7mer-m8 sites	Conserved 7mer-A1 sites	Poorly conserved sites total	Poorly conserved 8mer sites	Poorly conserved 7mer-m8 sites	Poorly conserved 7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT	Previous TargetScan publication(s)
Hoxa7	ENSMUST00000048715.7	homeobox A7 	189	4	4	0	0	0	0	0	0	1	mmu-miR-196b-5p	0.0968	0.6213	2.3578	-1.86	-1.98	0.29	2007
Nr6a1	ENSMUST00000168098.2	nuclear receptor subfamily 6, group A, member 1 	1815	4	0	4	0	0	0	0	0	8	mmu-miR-196a-5p	0.0438	0.3095	1.7573	-1.12	-1.12	> 0.99	2009, '11
Hmga2	ENSMUST00000159699.1	high mobility group AT-hook 2 	10108	2	0	2	0	1	0	1	0	1	mmu-miR-196b-5p	0.0297	0.2070	1.0867	-0.96	-0.97	0.97	2005, '07, '09, '11
Hand1	ENSMUST00000160392.3	heart and neural crest derivatives expressed transcript 1 	5	1	1	0	0	1	0	0	1	1	mmu-miR-196a-5p	0.0311	0.2091	0.9815	-0.94	-0.94	0.33	2005, '07, '09, '11
Hoxc8	ENSMUST00000001703.7	homeobox C8 	19	3	2	1	0	1	0	0	1	0	mmu-miR-196a-5p	0.0403	0.2528	0.9697	-0.79	-1.67	0.94	2005, '07, '09, '11
Hoxb7	ENSMUST00000049352.7	homeobox B7 	39	1	1	0	0	0	0	0	0	1	mmu-miR-196a-5p	0.0231	0.1544	0.6955	-0.78	-0.78	0.33	2005, '07, '09, '11
Foxi3	ENSMUST00000069634.5	forkhead box I3 	3619	1	1	0	0	1	0	0	1	1	mmu-miR-196b-5p	0.0373	0.2447	1.0771	-0.72	-0.72	0.17	NULL
Hoxa9	ENSMUST00000114425.2	homeobox A9 	245	2	0	1	1	0	0	0	0	1	mmu-miR-196b-5p	0.0205	0.1412	0.7163	-0.67	-0.69	0.88	2007
Hoxa5	ENSMUST00000048794.6	homeobox A5 	278	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0263	0.1672	0.6158	-0.65	-0.66	0.31	2005, '07, '09, '11
Epc2	ENSMUST00000092123.5	enhancer of polycomb homolog 2 (Drosophila) 	537	2	0	2	0	1	0	1	0	0	mmu-miR-196a-5p	0.0245	0.1653	0.7678	-0.63	-0.85	0.92	2005, '07, '09, '11
Gpcpd1	ENSMUST00000110136.2	glycerophosphocholine phosphodiesterase GDE1 homolog (S. cerevisiae) 	908	1	1	0	0	1	1	0	0	0	mmu-miR-196a-5p	0.0176	0.1226	0.6342	-0.62	-0.67	< 0.1	2007, '09, '11
Vsnl1	ENSMUST00000072299.5	visinin-like 1 	77	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0058	0.0411	0.2403	-0.59	-0.59	0.29	2005, '07, '09, '11
Gan	ENSMUST00000064488.5	giant axonal neuropathy 	541	2	0	2	0	1	0	1	0	1	mmu-miR-196a-5p	0.0366	0.2523	1.2802	-0.58	-0.62	0.98	2005, '07, '09, '11
Pacrgl	ENSMUST00000030968.2	PARK2 co-regulated-like 	451	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0240	0.1530	0.5834	-0.57	-0.74	< 0.1	2007, '09, '11
Lin28b	ENSMUST00000079390.6	lin-28 homolog B (C. elegans) 	191	2	0	2	0	1	0	1	0	2	mmu-miR-196b-5p	0.0186	0.1324	0.7915	-0.57	-0.65	0.97	2007, '09, '11
Zfp182	ENSMUST00000115333.3	zinc finger protein 182 	206	1	0	1	0	2	1	1	0	0	mmu-miR-196b-5p	0.0234	0.1627	0.8462	-0.56	-0.73	0.38	2009, '11
Hoxb6	ENSMUST00000173432.2	homeobox B6 	230	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0242	0.1557	0.5958	-0.55	-0.56	0.20	2005, '07, '09, '11
Kcnc2	ENSMUST00000092175.2	potassium voltage gated channel, Shaw-related subfamily, member 2 	28	1	1	0	0	1	1	0	0	1	mmu-miR-196a-5p	0.0308	0.2091	1.0124	-0.55	-0.55	< 0.1	2009, '11
Gata6	ENSMUST00000047762.7	GATA binding protein 6 	407	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0307	0.1929	0.7024	-0.53	-0.54	0.34	2005, '07, '09, '11
Rcc2	ENSMUST00000071169.3	regulator of chromosome condensation 2 	12432	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0216	0.1405	0.5543	-0.52	-0.52	0.88	2005, '07, '09, '11
Zcchc3	ENSMUST00000099207.4	zinc finger, CCHC domain containing 3 	6	1	0	1	0	1	0	1	0	1	mmu-miR-196a-5p	0.0095	0.0685	0.4292	-0.52	-0.52	0.67	2005, '07, '09, '11
Wdr37	ENSMUST00000054251.7	WD repeat domain 37 	1051	1	0	1	0	1	0	1	0	1	mmu-miR-196a-5p	0.0195	0.1346	0.6919	-0.52	-0.53	0.91	2005, '07, '11
Rxfp2	ENSMUST00000065745.4	relaxin/insulin-like family peptide receptor 2 	8	1	1	0	0	1	0	1	0	0	mmu-miR-196b-5p	0.0099	0.0696	0.3792	-0.49	-0.62	< 0.1	2007, '09, '11
Ing5	ENSMUST00000027505.7	inhibitor of growth family, member 5 	607	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0239	0.1557	0.6330	-0.49	-0.50	0.88	2005, '07, '09, '11
Calm1	ENSMUST00000110082.4	calmodulin 1 	29214	1	0	1	0	1	0	1	0	0	mmu-miR-196a-5p	0.0120	0.0833	0.4254	-0.49	-0.66	0.79	2007, '09, '11
Cdv3	ENSMUST00000116517.3	carnitine deficiency-associated gene expressed in ventricle 3 	133	1	0	1	0	1	0	0	1	2	mmu-miR-196b-5p	0.0139	0.1006	0.6337	-0.48	-0.53	0.93	2007, '09, '11
Prtg	ENSMUST00000055535.8	protogenin homolog (Gallus gallus) 	11	2	0	2	0	0	0	0	0	1	mmu-miR-196a-5p	0.0271	0.1870	0.9463	-0.48	-0.48	> 0.99	2009, '11
Nme4	ENSMUST00000025007.5	NME/NM23 nucleoside diphosphate kinase 4 	155	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0063	0.0449	0.2592	-0.47	-0.47	0.76	2005, '07, '09, '11
Tspan12	ENSMUST00000120965.2	tetraspanin 12 	4211	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0092	0.0644	0.3483	-0.47	-0.47	< 0.1	2005, '07, '09, '11
Opcml	ENSMUST00000115243.3	opioid binding protein/cell adhesion molecule-like 	73	1	0	1	0	1	0	1	0	1	mmu-miR-196a-5p	0.0217	0.1548	0.9105	-0.47	-0.47	0.91	2005, '07, '09, '11
Cdyl	ENSMUST00000075220.7	chromodomain protein, Y chromosome-like 	236	1	0	1	0	0	0	0	0	1	mmu-miR-196b-5p	0.0163	0.1107	0.5157	-0.47	-0.47	0.85	2005, '07, '09, '11
Atp8b4	ENSMUST00000040128.6	ATPase, class I, type 8B, member 4 	27	1	1	0	0	2	1	0	1	0	mmu-miR-196b-5p	0.0221	0.1554	0.8527	-0.46	-0.46	< 0.1	2005, '07, '09, '11
Nrxn1	ENSMUST00000160844.4	neurexin I 	37	2	0	1	1	1	0	1	0	0	mmu-miR-196a-5p	0.0307	0.2141	1.1442	-0.44	-0.44	0.61	2005, '07, '09, '11
Tox3	ENSMUST00000109621.4	TOX high mobility group box family member 3 	47	1	0	1	0	0	0	0	0	1	mmu-miR-196b-5p	0.0148	0.1032	0.5536	-0.44	-0.44	0.84	2007, '09, '11
Ppp6r2	ENSMUST00000088788.3	protein phosphatase 6, regulatory subunit 2 	463	1	0	1	0	0	0	0	0	3	mmu-miR-196b-5p	0.0135	0.0936	0.4773	-0.44	-0.47	0.89	2007, '11
Rgl2	ENSMUST00000047503.10	ral guanine nucleotide dissociation stimulator-like 2 	1230	1	0	1	0	0	0	0	0	0	mmu-miR-196a-5p	0.0099	0.0692	0.3644	-0.44	-0.44	0.37	2005, '07, '09, '11
Sdcbp	ENSMUST00000029912.5	syndecan binding protein 	2414	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0153	0.1037	0.4836	-0.44	-0.49	0.60	2005, '07, '09, '11
Foxm1	ENSMUST00000073316.7	forkhead box M1 	1345	1	1	0	0	0	0	0	0	0	mmu-miR-196a-5p	0.0193	0.1266	0.5157	-0.43	-0.44	< 0.1	2005, '07, '09, '11
Ncs1	ENSMUST00000000199.7	neuronal calcium sensor 1 	761	1	0	1	0	0	0	0	0	1	mmu-miR-196a-5p	0.0227	0.1514	0.6707	-0.43	-0.43	0.52	2007, '09, '11
Rbm26	ENSMUST00000163545.2	RNA binding motif protein 26 	238	1	0	1	0	1	0	0	1	1	mmu-miR-196b-5p	0.0134	0.0929	0.4850	-0.43	-0.58	0.73	2007, '09, '11
Zbtb26	ENSMUST00000067043.4	zinc finger and BTB domain containing 26 	18	2	0	1	1	0	0	0	0	2	mmu-miR-196a-5p	0.0130	0.0936	0.5863	-0.43	-0.58	0.90	2005, '07, '09, '11
