Target gene	Representative transcript	Gene name	3P-seq tags + 5	Total sites	8mer sites	7mer-m8 sites	7mer-A1 sites	6mer sites	Representative miRNA	Predicted occupancy (low miRNA)	Predicted occupancy (high miRNA)	Predicted occupancy (transfected miRNA)	Cumulative weighted context++ score	Total context++ score	Aggregate PCT
Lipi	ENSMUST00000062721.10	lipase, member I 	5	3	1	0	2	0	mmu-miR-142b				-0.77	-0.77	< 0.1
Rfpl4b	ENSMUST00000179279.1	ret finger protein-like 4B 	5	1	1	0	0	0	mmu-miR-142b				-0.67	-0.68	< 0.1
Gjd2	ENSMUST00000090275.4	gap junction protein, delta 2 	5	3	2	0	1	1	mmu-miR-142b				-0.65	-0.65	< 0.1
Eaf2	ENSMUST00000075946.6	ELL associated factor 2 	327	2	1	1	0	0	mmu-miR-142b				-0.64	-0.81	< 0.1
Smlr1	ENSMUST00000179685.2	small leucine-rich protein 1 	1001	1	1	0	0	0	mmu-miR-142b				-0.63	-0.64	< 0.1
Cnpy2	ENSMUST00000026446.2	canopy 2 homolog (zebrafish) 	5322	2	1	1	0	0	mmu-miR-142b				-0.62	-0.64	< 0.1
U2af2	ENSMUST00000005041.8	U2 small nuclear ribonucleoprotein auxiliary factor (U2AF) 2 	22	2	1	1	0	0	mmu-miR-142b				-0.60	-0.60	< 0.1
Mthfd2l	ENSMUST00000071652.4	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 2-like 	152	2	2	0	0	0	mmu-miR-142b				-0.60	-0.60	< 0.1
Zwint	ENSMUST00000105431.2	ZW10 interactor 	891	3	1	2	0	2	mmu-miR-142b				-0.60	-0.62	< 0.1
Gpr98	ENSMUST00000146749.1	G protein-coupled receptor 98 	24	2	0	2	0	0	mmu-miR-142b				-0.59	-0.59	< 0.1
Bsph2	ENSMUST00000108526.2	binder of sperm protein homolog 2 	5	1	1	0	0	0	mmu-miR-142b				-0.58	-0.58	< 0.1
5330417H12Rik	ENSMUST00000060348.2	RIKEN cDNA 5330417H12 gene 	5	1	1	0	0	0	mmu-miR-142b				-0.57	-0.57	< 0.1
Tfdp1	ENSMUST00000170909.1	transcription factor Dp 1 	6372	1	0	1	0	1	mmu-miR-142b				-0.57	-0.57	< 0.1
