GENEID	GeneSymbol	Chromosome	Biotype	Strand
ENSMUSG00000102693.2	4933401J01Rik	chr1:3143476-3144545	TEC	+
ENSMUSG00000064842.3	Gm26206	chr1:3172239-3172348	snRNA	+
ENSMUSG00000051951.6	Xkr4	chr1:3276124-3741721	protein_coding	-
ENSMUSG00000102851.2	Gm18956	chr1:3322980-3323459	processed_pseudogene	+
ENSMUSG00000103377.2	Gm37180	chr1:3435954-3438772	TEC	-
ENSMUSG00000104017.2	Gm37363	chr1:3445779-3448011	TEC	-
ENSMUSG00000103025.2	Gm37686	chr1:3535200-3537508	TEC	-
ENSMUSG00000089699.2	Gm1992	chr1:3536810-3583776	lncRNA	+
ENSMUSG00000103201.2	Gm37329	chr1:3582674-3584730	TEC	-
ENSMUSG00000103147.2	Gm7341	chr1:3602018-3602943	processed_pseudogene	+
ENSMUSG00000103161.2	Gm38148	chr1:3663115-3666126	TEC	-
ENSMUSG00000102331.2	Gm19938	chr1:3717532-3729127	lncRNA	-
ENSMUSG00000102348.2	Gm10568	chr1:3750378-3752011	TEC	+
ENSMUSG00000102592.2	Gm38385	chr1:3822233-3824583	TEC	+
ENSMUSG00000088333.4	Gm27396	chr1:3854099-3854156	snRNA	-
ENSMUSG00000102343.2	Gm37381	chr1:3975962-4056438	lncRNA	-
ENSMUSG00000025900.14	Rp1	chr1:4069780-4479464	protein_coding	-
ENSMUSG00000102948.2	Gm6101	chr1:4326457-4330742	processed_pseudogene	-
ENSMUSG00000104123.2	Gm37483	chr1:4433569-4435052	TEC	-
ENSMUSG00000025902.14	Sox17	chr1:4561154-4567577	protein_coding	-
ENSMUSG00000104238.2	Gm37587	chr1:4566774-4569781	lncRNA	+
ENSMUSG00000102269.2	Gm7357	chr1:4593128-4596960	processed_pseudogene	+
ENSMUSG00000118917.1	Gm22307	chr1:4599240-4599346	snRNA	+
ENSMUSG00000103003.2	Gm38076	chr1:4605060-4605509	processed_pseudogene	-
ENSMUSG00000104328.2	Gm37323	chr1:4653352-4656475	lncRNA	-
ENSMUSG00000102735.2	Gm7369	chr1:4680694-4681629	processed_pseudogene	+
ENSMUSG00000098104.2	Gm6085	chr1:4758157-4759626	processed_pseudogene	-
ENSMUSG00000102175.2	Gm6119	chr1:4762442-4763647	processed_pseudogene	-
ENSMUSG00002075947.1	U6	chr1:4793500-4793602	snRNA	-
ENSMUSG00000103265.2	Gm2053	chr1:4805269-4805899	processed_pseudogene	-
ENSMUSG00000103922.2	Gm6123	chr1:4841354-4842422	processed_pseudogene	+
ENSMUSG00000033845.14	Mrpl15	chr1:4843429-4855962	protein_coding	-
ENSMUSG00000102275.2	Gm37144	chr1:4848286-4849435	TEC	-
ENSMUSG00000025903.15	Lypla1	chr1:4878011-4918633	protein_coding	+
ENSMUSG00000104217.2	Gm37988	chr1:4878115-4956993	protein_coding	+
ENSMUSG00000033813.16	Tcea1	chr1:4928037-4968132	protein_coding	+
ENSMUSG00000062588.5	Gm6104	chr1:4950272-4950874	processed_pseudogene	-
ENSMUSG00000103280.2	Gm37277	chr1:4975974-4977084	TEC	-
ENSMUSG00000002459.18	Rgs20	chr1:4979799-5140508	protein_coding	-
ENSMUSG00000091305.2	Gm17100	chr1:4997251-4997522	processed_pseudogene	-
ENSMUSG00000102653.2	Gm37079	chr1:5008799-5010933	TEC	-
ENSMUSG00000085623.2	Gm16041	chr1:5041080-5047043	lncRNA	+
ENSMUSG00000091665.2	Gm17101	chr1:5133283-5134870	processed_pseudogene	+
ENSMUSG00000033793.13	Atp6v1h	chr1:5140241-5232752	protein_coding	+
ENSMUSG00000104352.2	Gm7182	chr1:5346329-5347560	processed_pseudogene	-
ENSMUSG00000104046.2	Gm37567	chr1:5377962-5380240	TEC	+
ENSMUSG00000102907.2	Gm38264	chr1:5473770-5475801	TEC	+
ENSMUSG00000025905.15	Oprk1	chr1:5658689-5676354	protein_coding	+
ENSMUSG00000103936.2	Gm36965	chr1:5688060-5688453	processed_pseudogene	-
ENSMUSG00002076544.1	ENSMUSG00002076544	chr1:5714868-5714968	miRNA	-
ENSMUSG00000103519.2	Gm37429	chr1:5913097-5914895	TEC	-
ENSMUSG00000033774.5	Npbwr1	chr1:5983926-5987617	protein_coding	-
ENSMUSG00000103090.2	Gm19214	chr1:6119187-6120269	processed_pseudogene	-
ENSMUSG00000025907.15	Rb1cc1	chr1:6276421-6346872	protein_coding	+
ENSMUSG00000090031.3	4732440D04Rik	chr1:6280090-6285517	lncRNA	-
ENSMUSG00000087247.4	Alkal1	chr1:6429442-6464955	protein_coding	+
ENSMUSG00000103355.2	Gm2147	chr1:6450618-6451256	processed_pseudogene	+
ENSMUSG00000102706.2	Gm7417	chr1:6452858-6453330	processed_pseudogene	-
ENSMUSG00000103845.2	Gm19026	chr1:6499879-6511520	processed_pseudogene	-
ENSMUSG00000033740.18	St18	chr1:6557455-6931164	protein_coding	+
ENSMUSG00000103329.3	Gm42492	chr1:6931461-6934375	TEC	-
ENSMUSG00000104385.2	Gm7449	chr1:6980784-6981446	processed_pseudogene	+
ENSMUSG00000102135.2	Gm37108	chr1:6986783-6993812	processed_pseudogene	+
ENSMUSG00000103282.2	Gm37275	chr1:6999983-7000012	processed_pseudogene	+
ENSMUSG00000102534.2	Gm37225	chr1:7068441-7068765	processed_pseudogene	+
ENSMUSG00000102213.2	Gm37489	chr1:7083986-7084144	processed_pseudogene	+
ENSMUSG00000103629.2	Gm5694	chr1:7106139-7107441	processed_pseudogene	+
ENSMUSG00000051285.18	Pcmtd1	chr1:7159144-7243852	protein_coding	+
ENSMUSG00000098201.2	Gm26983	chr1:7206423-7206810	processed_pseudogene	-
ENSMUSG00000103509.2	Gm38372	chr1:7218334-7222361	TEC	+
